,username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score
0,KatherineW1971,2017-10-13 19:59,0,1,currently,,,9.18989682453e+17,0.0,0.0,0.0,1.0
1,sebsbeanie,2017-10-13 19:59,0,1,one seen happy death day,,,9.18989616191e+17,-0.0516,0.368,0.349,0.283
2,marcosmejia_o4,2017-10-13 19:59,0,0,wants go see,,,9.18989585858e+17,0.0,0.0,0.0,1.0
3,mikellechloe_,2017-10-13 19:59,0,0,talk creepy people walking happy death day,,,9.18989576257e+17,-0.0516,0.31,0.294,0.397
4,HaydenPinafore,2017-10-13 19:59,1,8,happy death day good,,#HappyDeathDay,9.18989543046e+17,0.4019,0.339,0.574,0.087
5,j0shefina,2017-10-13 19:59,0,2,guess seeing happy death day alone today ticket gone waste,,,9.18989535002e+17,-0.6124,0.473,0.201,0.326
6,Adjohnson_,2017-10-13 19:59,0,9,happy death day done honor horror genre month,,,9.18989513959e+17,-0.1779,0.411,0.373,0.216
7,TinaPandaz,2017-10-13 19:58,0,0,watching happy death day friday,,,9.18989451628e+17,-0.0516,0.368,0.349,0.283
8,scottkelly1974,2017-10-13 19:58,0,0,happy death day movieguide movie reviews christians,,#,9.18989421848e+17,-0.0516,0.31,0.294,0.397
9,Purpin_Mama,2017-10-13 19:58,0,0,wait see happy death day,,,9.18989392861e+17,-0.0516,0.368,0.349,0.283
10,zoexswift,2017-10-13 19:58,0,0,whose killer happy death day love spoilers need know asap,,,9.18989358531e+17,-0.0772,0.371,0.357,0.271
11,trent_croci,2017-10-13 19:58,1,3,yooooo happy death day must see funny good time,,,9.18989354886e+17,0.6808,0.212,0.516,0.272
12,ShutUpBitchh_,2017-10-13 19:58,0,0,happy death day pissed,,,9.18989323118e+17,-0.6597,0.633,0.289,0.078
13,haileymichellee,2017-10-13 19:58,0,1,want see happy death day,,,9.18989247537e+17,0.0258,0.358,0.459,0.183
14,0ddoneout,2017-10-13 19:58,0,0,anybody go see happy death day,,,9.18989227727e+17,-0.0516,0.336,0.319,0.345
15,sameoldbrandon,2017-10-13 19:57,1,1,want see happy death day,,,9.1898921254e+17,0.0258,0.358,0.459,0.183
16,ZoeyAdair,2017-10-13 19:57,0,0,girl bae,@jessica_rothe,#HappyDeathDay,9.18989204449e+17,0.0,0.0,0.0,1.0
17,hunnybunnyyy,2017-10-13 19:57,0,0,bought ticket tonight see thinking,@UniversalHorror,#HappyDeathDay,9.18989197117e+17,0.0,0.0,0.0,1.0
18,troiansbeIIsrio,2017-10-13 19:57,0,5,saw happy death day w friends good,,,9.18989112547e+17,0.7003,0.25,0.622,0.128
19,mattwwe9,2017-10-13 19:57,0,0,liked video happy death day parody movie review,@YouTube,,9.18989035263e+17,0.3818,0.253,0.422,0.325
20,Ashley_Alldahyi,2017-10-13 19:57,0,0,since back home might go see happy death day,,,9.18988994037e+17,-0.0516,0.267,0.253,0.479
21,__selahrose,2017-10-13 19:56,0,0,happy death day,,,9.18988940803e+17,-0.0516,0.453,0.43,0.116
22,Steinmisr,2017-10-13 19:56,0,2,happy death day looks like kind horror movie actually want watch tbh,,,9.18988938031e+17,0.3182,0.31,0.445,0.245
23,heslovxto,2017-10-13 19:56,0,0,seeing happy death day tonight excited,,,9.18988936663e+17,0.296,0.3,0.469,0.231
24,theklashae,2017-10-13 19:56,0,0,happy death day reallyyyyyyyyyy good movie forreal,,,9.18988931865e+17,0.4019,0.269,0.455,0.276
25,kierstingale,2017-10-13 19:56,0,8,saw happy death day go,,,9.18988911976e+17,-0.0516,0.368,0.349,0.283
26,DoomDesire89,2017-10-13 19:56,0,0,spoiler,,#swerve,9.18988908876e+17,0.0,0.0,0.0,1.0
27,nothingbutabz,2017-10-13 19:56,0,1,apparently including saying happy death day,,,9.18988863246e+17,-0.0516,0.336,0.319,0.345
28,Franciscano_H,2017-10-13 19:56,0,0,caraca quem vai preferir esse happy death day tem tudo pra dar errado pra mim,,,9.18988803826e+17,-0.0516,0.189,0.18,0.631
29,shaqnosis1,2017-10-13 19:56,0,0,happy death day getting really good,,,9.18988767616e+17,0.4576,0.283,0.5,0.218
30,screentimex,2017-10-13 19:56,0,0,one better time loopers,,#HappyDeathDay #Review,9.18988761903e+17,0.4404,0.0,0.492,0.508
31,deelgee1210,2017-10-13 19:56,0,0,excited see happy death day,,,9.18988729066e+17,0.296,0.325,0.508,0.167
32,brookdanielle19,2017-10-13 19:56,0,1,come watch happy death day,,,9.18988723048e+17,-0.0516,0.368,0.349,0.283
33,kjmr09,2017-10-13 19:55,0,0,comes today instead decide stay chill watch,@astros,#HappyDeathDay #EarnHistory,9.1898871044e+17,0.0,0.0,0.0,1.0
34,DallariousAF,2017-10-13 19:55,0,1,happy death day good oh god,,,9.18988622829e+17,0.5859,0.267,0.596,0.137
35,cuquiface,2017-10-13 19:55,0,0,named happy groundhog,,#HappyDeathDay,9.18988618102e+17,0.5719,0.0,0.649,0.351
36,Makboogie,2017-10-13 19:55,0,0,happy death day two movies see,,,9.18988575878e+17,-0.0516,0.336,0.319,0.345
37,Yingerfelton,2017-10-13 19:55,1,1,think happy death day scared nah scared,@discordapp,,9.18988503904e+17,-0.7506,0.661,0.22,0.119
38,_missymaclin_,2017-10-13 19:54,0,0,seeing happy death day,,,9.18988457292e+17,-0.0516,0.406,0.385,0.208
