,username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score
0,MalnurturedSnay,2017-10-18 19:59,0,1,theaters happy death day,,,920801637723119616,-0.0516,0.406,0.385,0.208
1,mikeburnswho,2017-10-18 19:58,0,0,got see monday night,@darciedarko,#HappyDeathDay,920801339772362752,0.0,0.0,0.0,1.0
2,bccinema,2017-10-18 19:58,0,0,dark comedy lovers one happy death day tickets tauranga available,,,920801310739374080,0.6908,0.2,0.492,0.308
3,BrSC8,2017-10-18 19:57,0,0,hoy toca,@UniversalHorror,,920801160457367552,0.0,0.0,0.0,1.0
4,N_Nasty18,2017-10-18 19:56,9,0,wanna see happy death day already,,,920800903254257664,-0.0516,0.336,0.319,0.345
5,eric_x13,2017-10-18 19:56,0,1,box office narratives almost entirely made one thing look br cost made happy death day,,,920800884518301696,-0.0516,0.189,0.18,0.631
6,alfanobjbj,2017-10-18 19:56,0,0,liked video happy death day ending explained,@YouTube,,920800776120803329,0.3818,0.271,0.451,0.278
7,richfelix_,2017-10-18 19:55,0,0,alright guys gonna watch happy death day brb gonna give review,,,920800659082952704,0.2023,0.222,0.324,0.455
8,TODDCastPodcast,2017-10-18 19:55,0,1,heard powered get,@Penthouse604,#Letterman #LAGuns #HappyDeathDay,920800429939703809,0.0,0.0,0.0,1.0
9,smitacek18,2017-10-18 19:53,3,3,trying see happy death day go pumpkin patch weekend,,,920800146576752640,-0.0516,0.267,0.253,0.479
10,msbutah,2017-10-18 19:53,0,9,gonna go see happy death day bought luxury seats gonna laugh spoopy groundhog day,,,920800124208496640,0.5267,0.176,0.329,0.495
11,MikeJamesLake,2017-10-18 19:52,0,0,seeing happy death day eff nothing better,,,920799880968159232,-0.383,0.45,0.264,0.286
12,MohamedElnems07,2017-10-18 19:52,0,0,happy death day,,,920799802668982274,-0.0516,0.453,0.43,0.116
13,eric_x13,2017-10-18 19:52,0,1,last weekened blade widely seen terrible weekend happy death day took,,#1 #1,920799776525795330,-0.5106,0.374,0.198,0.428
14,_0423x_,2017-10-18 19:51,2,1,happy death day,,,920799440205627392,-0.0516,0.453,0.43,0.116
15,killa_Camarah,2017-10-18 19:50,0,0,realized happy death day,,,920799249318555648,-0.0516,0.406,0.385,0.208
16,carlochim,2017-10-18 19:50,0,4,link na minha,,#Cr #AMorteTeD #HappyDeathDay #DicasDeFilmes #CarloChim,920799235942920193,0.0,0.0,0.0,1.0
17,KTunnski,2017-10-18 19:49,0,2,liked would give,,#HappyDeathDay #GroundhogDay,920799130976337920,0.4215,0.0,0.583,0.417
18,articfoxj,2017-10-18 19:49,0,0,added video playlist happy death day ending explained,@YouTube,,920798917045796865,-0.0516,0.287,0.272,0.441
19,franzcito2015,2017-10-18 19:48,0,0,un video de la impactante historia oculta en happy death day retorno,@YouTube,,920798751836352514,-0.0516,0.222,0.21,0.568
20,toofars,2017-10-18 19:47,0,5,watch happy death day,,,920798508038307840,-0.0516,0.406,0.385,0.208
21,JaredBuckendahl,2017-10-18 19:47,1,2,new ride home cody seth take teen birthday slasher,,#HappyDeathDay #movie #review #film #subscribe,920798423665668097,0.0,0.0,0.0,1.0
22,jacofreak123a,2017-10-18 19:46,0,0,liked video happy death day ending explained,@YouTube,,920798212067168256,0.3818,0.271,0.451,0.278
23,aazyxjsxx,2017-10-18 19:45,0,0,seriously choose watch go happy death day reading reviews,,,920798111546478592,-0.2263,0.366,0.242,0.392
24,KBlack2595,2017-10-18 19:44,0,0,amc orange happy death day ca,@amctheatres,,920797642623291392,-0.0516,0.336,0.319,0.345
25,syidil,2017-10-18 19:43,0,0,baru saja mengubah ringtone hape jadi ringtone nya tree,,#HappyDeathDay,920797598155390976,0.0,0.0,0.0,1.0
26,strangerbby,2017-10-18 19:43,0,1,know lying calling movie happy death day movie america,,#1,920797581977952256,-0.5574,0.429,0.218,0.353
27,tk_juice,2017-10-18 19:43,0,0,mask kinda looks like thought hoodie long thank,@2gay2lift,#HappyDeathDay,920797474587009024,0.575,0.0,0.44,0.56
28,horrortownusa,2017-10-18 19:43,1,3,talk happy death day,,,920797465984491521,-0.0516,0.406,0.385,0.208
29,MattTomerlin,2017-10-18 19:42,0,1,seated happy death day attempting contain,,,920797308836388865,-0.0516,0.336,0.319,0.345
30,JessicaFilipa7,2017-10-18 19:42,1,0,quero bue ir ver happy death day,,,920797272085901312,-0.0516,0.31,0.294,0.397
31,OkFilmCritics,2017-10-18 19:42,0,0,joe reviews happy death day,@TheTulsaVoice @joshansky @UniversalHorror,,920797220135305216,-0.0516,0.368,0.349,0.283
32,BrandonSanch94,2017-10-18 19:41,0,0,also wanna go see happy death day,,,920797038664486913,-0.0516,0.31,0.294,0.397
33,andzchelababq41,2017-10-18 19:41,0,0,happy death day scares million box office,,,920796987330400256,-0.3818,0.45,0.264,0.286
34,Swiftimpala,2017-10-18 19:40,0,4,saw fun,,#HappyDeathDay,920796811861811200,0.5106,0.0,0.767,0.233
35,sawsoldier,2017-10-18 19:40,0,0,movie make partner bring ear plugs might fall,,,920796807784841216,0.0,0.0,0.0,1.0
36,c_johns,2017-10-18 19:40,0,0,happy death day,,,920796766034837504,-0.0516,0.453,0.43,0.116
37,NotliAiran,2017-10-18 19:38,0,0,assistindo happy death day em arcoplex via catarina,,,920796314006208512,-0.0516,0.287,0.272,0.441
38,aleighasamp,2017-10-18 19:37,8,11,wanna go see happy death day,,,920796097026473984,-0.0516,0.336,0.319,0.345
39,AshleyKlinko,2017-10-18 19:36,0,0,october,,#HappyDeathDay,920795799088279553,0.0,0.0,0.0,1.0
40,Enigma32,2017-10-18 19:35,0,0,fun loved,,#HappyDeathDay,920795530380247041,0.802,0.0,1.0,0.0
41,rockoutloud127,2017-10-18 19:35,0,0,ha gustado un de la misma vida una otra happy death day,@YouTube,,920795396909146113,0.296,0.205,0.321,0.474
42,_jgsanjuan,2017-10-18 19:34,0,8,happy death day bukas ples,,,920795375878803456,-0.0516,0.368,0.349,0.283
43,thefilmpoll,2017-10-18 19:33,1,0,top,,#film #boxoffice #Boo2 #TylerPerry #Geostorm #HappyDeathDay #blumhouse #TheSnowman #MichaelFassbender #poll,920795117497204736,0.2023,0.0,1.0,0.0
44,JimmFORCE,2017-10-18 19:33,1,6,new video happy death day review,,,920794971392786434,-0.0516,0.336,0.319,0.345
45,leoopedro69,2017-10-18 19:33,0,1,happy death day ao cinema muitoooooo fixe este filme,,,920794909539307520,-0.0516,0.267,0.253,0.479
46,EnricoDiazBernu,2017-10-18 19:32,0,0,la misma vida una otra happy death day,@YouTube,,920794800609050624,-0.0516,0.287,0.272,0.441
47,Jennie_Jayne,2017-10-18 19:32,0,1,saw happy death day today spookd,,,920794773622996992,-0.0516,0.336,0.319,0.345
48,_nessiee04,2017-10-18 19:32,0,3,carter watched happy death day said trust roommate bc eyebrows,,,920794631612260352,0.4767,0.218,0.391,0.391
49,Yazming_11,2017-10-18 19:31,1,0,want go see happy death day dumb movie pretty sad,,,920794405501571072,-0.4767,0.458,0.364,0.178
50,JaneLove_,2017-10-18 19:30,0,0,saw happy death day wtf,,,920794311708483585,-0.6124,0.575,0.276,0.149
51,afobar,2017-10-18 19:30,0,0,happy death day positive main boy live poster wall pic roddy piper,,,920794198181158912,0.5267,0.193,0.361,0.446
52,DaveFuentes5,2017-10-18 19:30,0,0,watching happy death day marcus orland park cinema,,,920794173388701696,-0.0516,0.287,0.272,0.441
53,dylan_gammon,2017-10-18 19:28,0,9,anyone want see happy death day,,,920793780839522304,0.0258,0.328,0.42,0.252
54,TheLeonaro,2017-10-18 19:27,1,0,kind want see happy death day,,,920793486189666304,0.5423,0.273,0.587,0.14
55,buwayahman,2017-10-18 19:26,0,0,saw happy death day last silly ridiculous highly recommended mindless,,,920793316957995008,-0.5698,0.468,0.337,0.195
56,beer_mat_movies,2017-10-18 19:26,0,1,managed get happy death day paid money,,,920793136703594496,-0.0516,0.31,0.294,0.397
