,username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score
0,Legion_Palmtree,2017-10-16 19:59,0,0,mascot university happy death day,,,920076817662464000,-0.0516,0.368,0.349,0.283
1,kendall_lydick,2017-10-16 19:59,2,2,need see happy death day,,,920076655745490945,-0.0516,0.368,0.349,0.283
2,michaeljavierw,2017-10-16 19:58,0,0,happy death day es una basura,,,920076627064827904,-0.0516,0.336,0.319,0.345
3,jacksonpurba,2017-10-16 19:58,0,0,latest secercah,,#snl #happydeathday,920076511755063296,0.0,0.0,0.0,1.0
4,jeonsdimpIe,2017-10-16 19:58,0,25,happy death day slandering anything,,,920076502875721728,-0.0516,0.368,0.349,0.283
5,morgmorgan25,2017-10-16 19:57,0,3,watching happy death day babysitter say need stop writing horribly cliche bad,,,920076175065706497,-0.8519,0.549,0.156,0.295
6,_bling13bling_,2017-10-16 19:57,0,0,want see happy death day first supposed see friday work go see,,,920076145269149696,0.0258,0.218,0.279,0.503
7,adultshard,2017-10-16 19:56,0,1,groundhog day started wakes everyday happy death day,,,920075965719441409,-0.0516,0.287,0.272,0.441
8,JasonNReneau,2017-10-16 19:55,0,0,saw happy death day felt like making greatest looks,,,920075641474531328,0.7579,0.202,0.539,0.259
9,claudineiferrei,2017-10-16 19:55,0,0,happy death day want go see movie,,,920075638626836485,0.0258,0.302,0.388,0.31
10,BobAKABuffy,2017-10-16 19:54,0,3,really loved,@israelbroussard @juliacunningham @EWlive,#Carter #HappyDeathDay,920075429297324034,0.6361,0.0,0.807,0.193
11,jfcharrys,2017-10-16 19:53,0,0,watched happy death day really liked,,,920075374687543296,0.4391,0.285,0.496,0.219
12,MuvaCaramel,2017-10-16 19:53,0,0,happy death day rolling ole girl said first kappas eat cupcakes like damn,,,920075250003468288,-0.1027,0.303,0.284,0.413
13,BabyyJayy01,2017-10-16 19:53,4,5,actually want go see happy death day,,,920075242348744704,0.0258,0.302,0.388,0.31
14,Thirstykirstii,2017-10-16 19:53,2,4,trying see happy death day still,,,920075192457506816,-0.0516,0.336,0.319,0.345
15,kvnrvr_,2017-10-16 19:52,0,1,neutral,,#HappyDeathDay,920074938194825221,0.0,0.0,0.0,1.0
16,chiefkeath_,2017-10-16 19:52,0,0,wanna watch happy death day,,,920074890996219904,-0.0516,0.368,0.349,0.283
17,Mjustin88,2017-10-16 19:51,0,0,feast last night even used phone find killer happy death day movie lol,,,920074748586901504,-0.4019,0.346,0.274,0.38
18,shanieshanshan,2017-10-16 19:51,0,3,someone watch happy death day wid tomorrow pls,,,920074714680197121,0.0258,0.281,0.36,0.36
19,mattlegarreta,2017-10-16 19:50,0,0,really bad even low left theater mostly confused,,#HappyDeathDay,920074498073755648,-0.8155,0.628,0.0,0.372
20,mcxreedus,2017-10-16 19:50,0,0,omg see u happy death day think little lesbian beautiful love lol,@jessica_rothe,,920074491367231489,0.8795,0.163,0.587,0.25
21,popternative,2017-10-16 19:49,12,18,congrats cast crew box office,@raylynn93 @UniversalHorror,#1,920074270083915776,0.5267,0.0,0.459,0.541
22,nmiguelrn,2017-10-16 19:48,0,2,quando happy death day consegue ser mais assustador,,,920074096142114823,-0.0516,0.287,0.272,0.441
23,Jose_Caicedo,2017-10-16 19:48,0,0,el vi happy death day bueno esperaba,,,920074051141472256,-0.0516,0.31,0.294,0.397
24,_gisellebarajas,2017-10-16 19:48,10,4,really want go see happy death day,,,920073980186320896,0.101,0.296,0.401,0.303
25,mscrofanos,2017-10-16 19:47,0,0,happy death day filme mais divertido ano junto com,,,920073778742349825,-0.0516,0.267,0.253,0.479
26,ygymkm,2017-10-16 19:47,0,12,seconds happy death day alreadybgtg,,,920073682801905667,-0.0516,0.368,0.349,0.283
27,BizarroDoom,2017-10-16 19:47,0,0,difference day makes happy death day,,,920073635473133568,-0.0516,0.336,0.319,0.345
28,dgrone78,2017-10-16 19:46,0,0,power strikes checking,@hardwick @nerdist @blumhouse,#HappyDeathDay,920073504468303872,-0.3612,0.556,0.0,0.444
29,Jasminaaang18,2017-10-16 19:46,0,1,october find die,,#HappyDeathDay,920073438705811457,-0.5994,0.661,0.0,0.339
30,emily_gass,2017-10-16 19:46,0,9,wants go happy death day,,,920073396267945985,-0.0516,0.368,0.349,0.283
31,Montanaaa_,2017-10-16 19:45,0,1,mama finna take see happy death day,,,920073249924534272,-0.0516,0.31,0.294,0.397
32,dnceIines,2017-10-16 19:45,0,4,watching happy death day see,,,920073181930704898,-0.0516,0.368,0.349,0.283
33,Ghuyer,2017-10-16 19:44,0,0,rated happy death day learn add watchlist,,,920073048652435456,-0.0516,0.31,0.294,0.397
34,KENXJOSEPH,2017-10-16 19:44,0,0,boycott happy death day simply looks fucking trash,,,920072981740707840,-0.3612,0.416,0.248,0.336
35,l0lalec,2017-10-16 19:44,0,0,happy death day go watch,,,920072923301388288,-0.0516,0.368,0.349,0.283
36,vivienkyline,2017-10-16 19:44,0,1,watched happy death day omg plot twist,,,920072888790765568,-0.0516,0.31,0.294,0.397
37,marcsimpson97,2017-10-16 19:44,0,3,happy death day looks magic hahaha,,,920072866095419392,0.5267,0.275,0.514,0.211
38,MichaelAMartin,2017-10-16 19:43,0,1,things subject order hang watching happy death day harkins,,,920072835116122112,-0.0516,0.267,0.253,0.479
39,KinanoNanina,2017-10-16 19:43,0,1,checkout latest news post happy death day scares box office,,,920072696062464000,-0.3818,0.371,0.218,0.412
40,phantomthread,2017-10-16 19:43,0,4,lied gonna see happy death day tomorrow instead florida project cuz gonna save florida project lucy comes,,,920072663179104256,0.1027,0.246,0.261,0.492
41,JavierSpanic,2017-10-16 19:43,0,0,happy death day official trailer horror movie hd sigue creciendo en,@YouTube,#1,920072646003367937,-0.5994,0.394,0.192,0.415
42,imanishackee,2017-10-16 19:42,0,0,happy death day,,,920072537345753088,-0.0516,0.453,0.43,0.116
43,Rude_AssTaj,2017-10-16 19:41,0,0,happy death day actually smooth movie,,,920072281933705216,-0.0516,0.336,0.319,0.345
