,username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score
0,styleglossy,2017-10-20 19:59,0,2,gonna watch happy death day later,,,921526261951926273,-0.0516,0.336,0.319,0.345
1,Tatyana_shante,2017-10-20 19:58,0,0,happy death day amazing,,,921526044301066240,0.5574,0.315,0.605,0.081
2,Kage062684,2017-10-20 19:57,0,0,happy death day trailer movieclips trailers via,@YouTube,#1,921525738586587136,-0.0516,0.31,0.294,0.397
3,_thaliax0,2017-10-20 19:57,1,15,wanna see happy death day everyone playing,,,921525735264747521,0.1531,0.291,0.41,0.299
4,nutylaraswaty,2017-10-20 19:53,0,0,yes guess right one mystery solved really nice love till end,,#lol #HappyDeathDay,921524858214801409,0.9076,0.0,0.639,0.361
5,LeosAMovieGuy,2017-10-20 19:53,0,0,happy death day lacking final result surprisingly read,,,921524690430119938,0.25,0.264,0.399,0.338
6,Optiluiz,2017-10-20 19:52,0,0,happy death day much,,,921524561925025792,-0.0516,0.406,0.385,0.208
7,Conor72_,2017-10-20 19:52,0,0,black room mate happy death day,,,921524537103183872,-0.0516,0.336,0.319,0.345
8,ballesterrrrr,2017-10-20 19:51,0,0,happy death day,,,921524340046393345,-0.0516,0.453,0.43,0.116
9,DemiGodWould,2017-10-20 19:47,1,0,going watch happy death day,,,921523265885036544,-0.0516,0.368,0.349,0.283
10,PrincessNivius,2017-10-20 19:47,0,1,enjoyed watching,@UniversalPics @Cinemark,#HappyDeathDay,921523252467552256,0.5106,0.0,0.767,0.233
11,TerrelleGraham,2017-10-20 19:45,1,1,video review happy death day,,#HappyDeathDay,921522818231230464,-0.0516,0.368,0.349,0.283
12,amybowbamie,2017-10-20 19:45,0,1,watching happy death day,,#trakt,921522812103340032,-0.0516,0.406,0.385,0.208
13,alecmasone,2017-10-20 19:44,0,1,happy death day better la la land,@TheAcademy,,921522655504805888,0.4019,0.269,0.455,0.276
14,escobarashleey,2017-10-20 19:44,0,0,cine tiene corriente quede con las ganas de ver happy death day,,,921522579235659776,-0.0516,0.222,0.21,0.568
15,Gwizzdom,2017-10-20 19:43,0,0,hoping stabby sort way,,#happydeathday #movie,921522226964389888,0.4215,0.0,0.483,0.517
16,FilmArcade,2017-10-20 19:43,0,0,happy death day review tim,,#HappyDeathDayMovie #HappyDeathDay,921522222870745088,-0.0516,0.368,0.349,0.283
17,TheShieldIsLove,2017-10-20 19:43,0,0,got finally get see happy death day best part going amc get buttery popcorn,,,921522192202027008,0.6124,0.171,0.346,0.482
18,Tranphasmagoria,2017-10-20 19:41,0,2,ended going lego ritual happy death day themed triple hey,,,921521899347300352,-0.0516,0.25,0.237,0.513
19,Tchalllaa,2017-10-20 19:41,0,0,think imma go see marshall happy death day,,,921521742648102912,-0.0516,0.287,0.272,0.441
20,christinefriar,2017-10-20 19:40,0,10,excited say fun time watching happy death day,,,921521598468952064,0.6705,0.225,0.543,0.231
21,thaliegrace,2017-10-20 19:39,0,3,happy death day iconic,,,921521360731557888,-0.0516,0.406,0.385,0.208
22,im_breadbin,2017-10-20 19:39,0,1,im watching happy death day frens yass,,,921521338828840960,-0.0516,0.31,0.294,0.397
23,SpellDaSav,2017-10-20 19:39,0,0,happy death day,@quelby500,,921521164190732293,-0.0516,0.453,0.43,0.116
