body,date,retweets,favorites,mentions,hashtags,geo
"Esquema é assistir deadpool pela internet, porque a pirataria é nois",2016-02-15 18:59:58,0,0,,,
Eu Vi : Deadpool http:// wp.me/p1Swzs-fA8 via @GeekTrooper,2016-02-15 18:59:58,0,1,@GeekTrooper,,
แม่คะ เว้ดแกล้งลูกค่ะ!! Spider-Man/ Deadpool #3 Variant Cover #spideypool pic.twitter.com/8PCrW6rNhg,2016-02-15 05:35:55,18,9,,#3 #spideypool,
Deadpool Sequel in the Works: http://www. filmandtvnow.com/deadpool-seque l-in-the-works/ … #Deadpool #RyanReynolds pic.twitter.com/hva4PZVYa2,2016-02-15 18:55:01,1,0,,#Deadpool #RyanReynolds,
Deadpool was AWESOME! Ryan Reynolds rocked it so fucking baaad!!! Can't wait for Deadpool2… https://www. instagram.com/p/BB04SDRxuOu/,2016-02-15 18:59:58,0,0,,,
"#Deadpool thank you for making my valentines truly special, and sorry for the lawn Great work @edskrein @VancityReynolds @Kinberg",2016-02-14 15:54:14,3614,13113,@edskrein @VancityReynolds @Kinberg,#Deadpool,
go see deadpool pic.twitter.com/HrEHvAI1Ul,2016-02-12 15:03:24,9353,4192,,,
Now that Deadpool has movie execs spluttering out their comfort-zone coffee - Black Widow movie? Yes? Now? Please? pic.twitter.com/NlHzWKtdWK,2016-02-15 17:46:19,199,321,,,
Deadpool ... 10/10,2016-02-15 18:59:57,0,0,,,
RETWEET + FOLLOW @LooperHQ for a chance to win this Deadpool Funko Pop pic.twitter.com/nBKRPjsDlL,2016-02-15 18:07:47,314,95,@LooperHQ,,
My friend was talking to me about how great Deadpool was and I just unintentionally went off on an emotional rant about my love for Wade.,2016-02-15 18:59:56,0,1,,,
"Ta ligado q meu namorado me levou pra assistir deadpool , e agr ta com medo do dia internacional da mulher",2016-02-15 18:59:56,0,0,,,
Time to watch Deadpool,2016-02-15 18:59:56,0,0,,,
mozão vai fica so o odio pq eu fui ver deadpool sem ela kkkk,2016-02-15 18:59:56,1,0,,,
¡Gánate este comic de #deadpool ! ¡Muy fácil! Ingresa a http://www. nerdix.cl / hoy a las 21:00 hrs! #labaticuevanx pic.twitter.com/A1uErvFwXD,2016-02-15 18:59:55,0,2,,#deadpool #labaticuevanx,
"@Lil_SJL As Deadpool steps up and points to the treadmill next door: ""She's got the right idea! She's wearing the brown pants!""",2016-02-15 18:59:55,0,1,@Lil_SJL,,
Let's put #Deadpool 's box office success into perspective. pic.twitter.com/ZFkCQrakzx,2016-02-14 20:46:38,444,455,,#Deadpool,
ai assisti deadpool kkkkkkkkkkkk,2016-02-15 18:59:54,0,0,,,
"Just saw the Deadpool movie, FUCKING AMAZING",2016-02-15 18:59:53,0,0,,,
L #Deadpool,2016-02-15 18:59:53,0,0,,#Deadpool,
Only people who watched Deadpool will understand http:// 9gag.com/gag/aX9r16D?re f=tp … pic.twitter.com/EbA7ZfKl35,2016-02-15 18:00:40,4782,4224,,,
Gostei de um vídeo @YouTube de @naosalvo http:// youtu.be/kIhEUL4rnnQ?a ENTREVISTA: DEADPOOL - RYAN REYNOLDS - Premier de Londres,2016-02-15 18:59:52,0,0,@YouTube @naosalvo,,
Just wanted to mention that #Deadpool is fantastic.,2016-02-15 18:59:52,0,0,,#Deadpool,
Deadpool . pic.twitter.com/hckYWnFOtf,2016-02-15 18:51:59,366,628,,,
"Because of sub-zero temps on Sunday, we went to see #DeadPool today. OMFG. This is my new desert-island keeper movie. 1/2",2016-02-15 18:59:52,0,0,,#DeadPool,
Me ha gustado un vídeo de @YouTube ( http:// youtu.be/H0ADT-Mh_pU?a - Reseña Deadpool ).,2016-02-15 18:59:52,0,0,@YouTube,,
"#Deadpool was tight btw, Ryan Reynolds was born to play that part lol.",2016-02-15 18:59:51,0,0,,#Deadpool,
RETWEET + FOLLOW @LooperHQ for a chance to win this Deadpool Funko Pop pic.twitter.com/nBKRPjsDlL,2016-02-15 18:07:47,314,95,@LooperHQ,,
Ryan Reynolds rejects sexist ' Deadpool ' question: 'Women love superhero movies' http:// ift.tt/1KSvsuw,2016-02-15 18:59:49,0,0,,,
Deadpool with my mom and brother tonight,2016-02-15 18:59:49,0,0,,,
Ryan Reynolds rejects sexist ' Deadpool ' question: 'Women love superhero movies' http:// ift.tt/1KSvsuw pic.twitter.com/AIT3N6fSyc,2016-02-15 18:59:48,0,1,,,
"Just saw Deadpool movie, Awesome! !!",2016-02-15 18:59:48,0,0,,,
Gostei de um vídeo @YouTube de @canalosotao http:// youtu.be/azDdb3lyHrM?a Assistimos Deadpool,2016-02-15 18:59:47,1,2,@YouTube @canalosotao,,
DEADPOOL TEM TANTA REFERENCIA QUE NÃO DÁ PRA ACOMPANHA TANTOS MEME QUE FILME MEU DEUS,2016-02-15 18:59:46,0,0,,,
Donc ça va j'ai pas a été déçu par Deadpool même s'il n'est pas extraordinaire,2016-02-15 18:59:46,0,0,,,
Tomorrow I'll break my record for movie seen most times (Avengers -4) by seeing Deadpool for a 5th time. #whenthatbluraycomesoutgodhelpus,2016-02-15 18:59:45,0,0,,#whenthatbluraycomesoutgodhelpus,
