Unnamed: 0,username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,polarity
0,slimesidro,2017-10-15 19:59,1,0,happy death day definition,,,919714484888973312,-0.0516,0.406,0.385,0.208,Neg
1,jarcos_,2017-10-15 19:59,0,0,el film de horror happy death day domina la taquilla norteamericana,@revistavistazo,,919714378013904908,-0.5994,0.394,0.192,0.415,Neu
2,atribecalledjmc,2017-10-15 19:59,1,8,happy death day definitely top worst movie even watch,,,919714364050960384,-0.2023,0.396,0.406,0.198,Pos
3,bjspearstan,2017-10-15 19:59,0,4,happy death day good movie,,,919714339690557445,0.4019,0.312,0.528,0.16,Pos
4,Shermanther,2017-10-15 19:59,0,1,see happy death day,,,919714279007375361,-0.0516,0.406,0.385,0.208,Neg
5,TonyParkerArt,2017-10-15 19:58,0,0,congratulations scott lobdell writing number one movie go watch happy death day,,,919714130944077824,0.6124,0.188,0.428,0.385,Pos
6,Qbreelilly,2017-10-15 19:58,2,4,recommend happy death day,,,919714107766591488,0.3182,0.351,0.559,0.09,Pos
7,tinyninja7131,2017-10-15 19:58,0,2,gonna see happy death day really like concept movie hopefully good,,,919714088040591361,0.8016,0.177,0.55,0.273,Pos
8,gothsithlord,2017-10-15 19:58,0,0,saying good things happy death day alright goes munty,,,919714003584028672,0.5719,0.223,0.491,0.286,Pos
9,DreaaBabyyyyy,2017-10-15 19:57,0,0,bouta finally see happy death day,,,919713993845026816,-0.0516,0.336,0.319,0.345,Neu
10,kiiiaaahhh,2017-10-15 19:57,1,2,highly recommend seeing happy death day,,,919713946495361024,0.4323,0.286,0.495,0.22,Pos
11,AlaiaMion,2017-10-15 19:57,1,0,happy death day movie looks stupid,,,919713923841978368,-0.5574,0.521,0.264,0.214,Neg
12,MynahRae1,2017-10-15 19:57,0,2,watching happy death day currently damn nerves shot,,,919713839389831168,-0.5106,0.51,0.236,0.255,Neg
13,FatherTone,2017-10-15 19:56,0,0,sike nah havent seen happy death day lmao,,,919713673270226944,0.5644,0.285,0.456,0.259,Pos
14,OhlalaJustine,2017-10-15 19:56,0,2,actually like happy death day thought would,,,919713572325699584,0.3182,0.277,0.44,0.284,Pos
15,nemismyworld,2017-10-15 19:55,0,0,cinema watching happy death day screamed confident started playing lol,@ddlovato,,919713457657778178,0.6486,0.286,0.53,0.184,Pos
16,gamingtheostics,2017-10-15 19:55,0,0,happy death day wins weekend boffo plus debut people say best movie realeast date,,,919713363197857792,0.8271,0.153,0.455,0.392,Pos
