Unnamed: 0,username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,polarity
0,JzminRuiz28,2017-10-21 19:59,0,0,happy death day,,,9.21888809968e+17,-0.0516,0.453,0.43,0.116,Neg
1,coliseumtheater,2017-10-21 19:58,0,0,starting oct days happy death day rated friday,,,9.21888492531e+17,-0.0516,0.287,0.272,0.441,Neu
2,JonMikey34,2017-10-21 19:58,0,1,let next time see tl dm either happy death day flipped coin,,,9.21888360616e+17,-0.0516,0.222,0.21,0.568,Neu
3,CagedBirdsCafe,2017-10-21 19:58,0,0,way see happy death day,,#AlmostDied,9.21888345034e+17,-0.0516,0.368,0.349,0.283,Neg
4,davecuttle,2017-10-21 19:56,0,0,happy death day going win awards metric ton,,,9.21887995854e+17,0.765,0.212,0.571,0.217,Pos
5,LateGreatHenry,2017-10-21 19:56,0,0,happy death day teen comedy jump scares horror version groundhogs,,#HappyDeathDay,9.21887951168e+17,-0.5859,0.472,0.292,0.236,Neg
6,ILWYSDANI,2017-10-21 19:56,0,2,happy death day fucking good holy shit please watch israel broussard fucking hot,,,9.21887878972e+17,0.1102,0.311,0.368,0.321,Pos
7,typicaldamien,2017-10-21 19:56,0,0,happy death day better,,,9.21887857639e+17,0.4019,0.339,0.574,0.087,Pos
8,ChildishPepino,2017-10-21 19:56,0,3,wanna go watch happy death day,,,9.21887829613e+17,-0.0516,0.336,0.319,0.345,Neu
9,whatsnew07,2017-10-21 19:56,0,0,watch full movie,,#Happy_Death_Day,9.21887828846e+17,0.0,0.0,0.0,1.0,Neu
10,avesdpt,2017-10-21 19:53,0,3,thought happy death day would cringey turned adorable made mad want something adorable,,,9.2188728554e+17,0.5106,0.278,0.447,0.275,Pos
11,hellhorror,2017-10-21 19:53,0,0,rt another saturday night movies see happy death day,@gpgbball,#happydeathday #horror,9.21887221779e+17,-0.0516,0.267,0.253,0.479,Neu
12,Hosssmash,2017-10-21 19:53,0,0,happy death day die fun original needed longer,,,9.21887173624e+17,0.128,0.388,0.463,0.149,Pos
13,allysterzer,2017-10-21 19:52,0,1,reaaally wanna see happy death day,,,9.21887016056e+17,-0.0516,0.336,0.319,0.345,Neu
14,D_alabduljaleel,2017-10-21 19:52,0,0,happy death day,,,9.21886836016e+17,-0.0516,0.453,0.43,0.116,Neg
15,freeingliberty,2017-10-21 19:51,0,1,glad enjoyed happy death day much fun little,,,9.21886787077e+17,0.8555,0.193,0.658,0.149,Pos
16,brrriit_,2017-10-21 19:50,0,5,happy death day good,,,9.21886498827e+17,0.4019,0.339,0.574,0.087,Pos
17,StephyLSilva,2017-10-21 19:50,0,2,went movies days movie pass saw blade happy death day might go,,,9.21886405508e+17,-0.0516,0.222,0.21,0.568,Neu
18,gpgbball,2017-10-21 19:48,0,0,another saturday night movies see happy death day,,#happydeathday #horror,9.21885994907e+17,-0.0516,0.287,0.272,0.441,Neu
19,JayBeeHanna,2017-10-21 19:48,0,0,older man talked bunch happy death day last way theater pointed talking mocked,,,9.21885942508e+17,-0.3612,0.312,0.186,0.503,Neu
20,brotzmanised,2017-10-21 19:47,0,2,max tweeting drinking game ur watching happy death day really stan right man,,,9.21885797347e+17,-0.0516,0.21,0.199,0.591,Neu
21,Lexiaamonkey,2017-10-21 19:47,0,0,happy death day funny hoe crying laughter,,,9.21885652312e+17,0.4215,0.372,0.521,0.106,Pos
22,WidalysSerrano,2017-10-21 19:47,0,0,happy death day bien gasten su tiempo ni,,,9.21885606393e+17,-0.0516,0.287,0.272,0.441,Neu
23,TONYMORIN,2017-10-21 19:46,0,1,happy death day,,#31DaysOfHorror,9.2188543287e+17,-0.0516,0.453,0.43,0.116,Neg
24,ChingChangGino,2017-10-21 19:46,0,0,think want go see happy death day tonight,,,9.21885386058e+17,0.0258,0.281,0.36,0.36,Neu
25,Uptomyknees,2017-10-21 19:45,16,151,need attempt describe happy death day first let say glad say drinking,,,9.21885292457e+17,0.4215,0.199,0.342,0.459,Neu
26,BrandonHanna07,2017-10-21 19:45,0,0,little late finally saw happy death day review coming,,,9.21885283469e+17,-0.0516,0.267,0.253,0.479,Neu
27,SHenline808,2017-10-21 19:45,0,9,happy death day pretty g movie,,,9.21885183229e+17,0.4588,0.305,0.539,0.156,Pos
28,TheOnlyAbygail,2017-10-21 19:44,0,3,tryna go see happy death day,,,9.21885010126e+17,-0.0516,0.336,0.319,0.345,Neu
