Unnamed: 0,username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,polarity
0,filthydeadboy,2017-10-17 19:59,0,0,seeing happy death day today,,,920439150955790336,-0.0516,0.368,0.349,0.283,Neg
1,saltytinktink,2017-10-17 19:58,0,2,wanna see happy death day,,,920438982395043841,-0.0516,0.368,0.349,0.283,Neg
2,i_want_u_2_lose,2017-10-17 19:58,0,0,killer happy death day giant would full,,,920438972672856064,-0.6705,0.516,0.233,0.252,Neg
3,itssimplyash,2017-10-17 19:57,0,1,watch happy death day,,,920438751234576385,-0.0516,0.406,0.385,0.208,Neg
4,_Auuustinnn,2017-10-17 19:57,0,1,wanna see happy death day,,,920438678345912322,-0.0516,0.368,0.349,0.283,Neg
5,JomarisRosa,2017-10-17 19:57,0,1,ya soy una veterana en otra cuando se acaba esperaba de happy death day pero muy repetitiva aveces,,,920438528999395329,-0.0516,0.165,0.157,0.678,Neu
6,SahafahFan,2017-10-17 19:56,0,0,happy death day,,,920438360510001152,-0.0516,0.453,0.43,0.116,Neg
7,SabzMoreno,2017-10-17 19:56,0,1,saw happy death day actually good,,,920438346253344769,0.4019,0.289,0.489,0.222,Pos
8,REELWORD,2017-10-17 19:56,1,0,neutral,,#review #HappyDeathDay #horror #comedy #GroundhogDay,920438287650635776,0.0,0.0,0.0,1.0,Neu
9,_kiaera,2017-10-17 19:54,1,0,happy death day good forgot tell lol,,,920438005659299840,0.6705,0.239,0.577,0.184,Pos
10,okshaleila,2017-10-17 19:54,0,0,days still reeling happy death day bringing line heifers delta least prepared,,,920437882363564039,-0.2182,0.305,0.203,0.493,Neu
11,igorpps,2017-10-17 19:52,0,1,happy death day rio de rj,@CinemarkOficial,,920437349145808899,-0.0516,0.336,0.319,0.345,Neu
12,SafiahMS_,2017-10-17 19:52,0,0,nak ajak pergi tengok happy death day lupa pulak baru tahun,,,920437339545001984,-0.0516,0.235,0.223,0.542,Neu
13,swampwampa,2017-10-17 19:51,0,1,happy death day really predictable super enjoyed,,,920437139577257985,0.8197,0.213,0.624,0.164,Pos
14,BheyyDmndn,2017-10-17 19:51,0,1,gusto kong manood ng happy death day hahahahaha,,,920437081482002432,-0.0516,0.287,0.272,0.441,Neu
15,MtixBoss,2017-10-17 19:50,0,0,happy death day tayang mulai hari ini di get tickets via bisa pilih,@MtixBoss,,920436813709246465,-0.0516,0.21,0.199,0.591,Neu
16,PENGUIN0FGOTHAM,2017-10-17 19:49,0,0,got done watching happy death day shock amazing movie fav movie ever seen worth fullprice buy bluray,,,920436757568503810,0.7096,0.217,0.415,0.368,Pos
17,jevial,2017-10-17 19:49,0,0,en vose,,,920436722923696128,0.0,0.0,0.0,1.0,Neu
18,itsukoii,2017-10-17 19:49,0,3,happy death day sucked ok,,,920436661548470273,-0.25,0.5,0.428,0.072,Neg
19,Sephology,2017-10-17 19:48,0,0,neutral,,#frightnight2k17 #happydeathday #nw,920436468744679424,0.0,0.0,0.0,1.0,Neu
20,morgspingola,2017-10-17 19:48,0,0,happy death day massive let,,,920436399379308545,-0.0516,0.368,0.349,0.283,Neg
21,eppicburrito1,2017-10-17 19:48,0,0,happy death day,,,920436341023834112,-0.0516,0.453,0.43,0.116,Neg
22,Manikinss,2017-10-17 19:48,0,0,turns predicted ending happy death day still enjoyed though funny moments,,,920436296165728258,0.7184,0.188,0.476,0.337,Pos
23,igetfilthy,2017-10-17 19:46,0,1,happy death day actually end,,,920435875489701888,-0.0516,0.368,0.349,0.283,Neg
24,ohdassZee,2017-10-17 19:45,0,0,happy death day good tho,,,920435528612417536,0.4019,0.312,0.528,0.16,Pos
25,chacho_spears,2017-10-17 19:44,0,1,movie,,#happydeathdaymovie #happydeathday #fammovienight,920435349108686848,0.0,0.0,0.0,1.0,Neu
26,chacho_spears,2017-10-17 19:44,0,0,movie,,#happydeathdaymovie #happydeathday #fammovienight,920435341005291520,0.0,0.0,0.0,1.0,Neu
27,chacho_spears,2017-10-17 19:44,0,0,movie,,#happydeathdaymovie #happydeathday #fammovienight,920435338979500037,0.0,0.0,0.0,1.0,Neu
28,chacho_spears,2017-10-17 19:44,0,0,movie jordan landing,@Cinemark,#happydeathdaymovie #happydeathday #fammovienight,920435319119466496,0.0,0.0,0.0,1.0,Neu
29,FlawlessRuth,2017-10-17 19:43,0,0,happy death day lame please save ya rarely say movies im fr,,,920435192287911936,0.3612,0.293,0.402,0.306,Pos
30,wallyisdead_,2017-10-17 19:43,0,0,liked video happy death day another hit,@YouTube,,920435141822107648,0.3818,0.271,0.451,0.278,Pos
31,EricElizondo,2017-10-17 19:43,0,0,got work brought niece watch happy death day,,#BestUncle,920435077812600832,-0.0516,0.287,0.272,0.441,Neu
32,abbeydenneyy,2017-10-17 19:43,0,0,told,,,920435059513085952,0.0,0.0,0.0,1.0,Neu
33,cadtki,2017-10-17 19:43,0,0,happy death day,,,920435023076982786,-0.0516,0.453,0.43,0.116,Neg
34,cadtki,2017-10-17 19:42,0,1,happy death day,,,920434770588217344,-0.0516,0.453,0.43,0.116,Neg
35,renzy0u,2017-10-17 19:41,0,0,happy death day,,,920434676698832898,-0.0516,0.453,0.43,0.116,Neg
36,kaylanegs,2017-10-17 19:41,0,1,seeing happy death day tonight really looked ending told happened smfh,,,920434661360254976,-0.0516,0.235,0.223,0.542,Neu
37,amhaunted,2017-10-17 19:40,3,18,huge hit revived movies back,,#HappyDeathDay #Halloween #Slasher,920434352793817088,0.3182,0.0,0.365,0.635,Neu
38,wallyisdead_,2017-10-17 19:40,0,0,liked video happy death day movie review double toasted,@YouTube,,920434261353738240,0.3818,0.238,0.396,0.366,Pos
39,kennlee_19,2017-10-17 19:40,0,0,recommend seeing happy death day,,,920434248640876544,0.3182,0.322,0.512,0.165,Pos
40,JomarisRosa,2017-10-17 19:39,0,0,yo vi dos por el precio de una jaja eso mala american assassin happy death day,,,920434146484326405,-0.0516,0.181,0.171,0.648,Neu
41,chelseagrega,2017-10-17 19:39,0,0,watching happy death day amc theatre morristown,,,920434130969661445,-0.0516,0.31,0.294,0.397,Neu
42,AflamTalk,2017-10-17 19:38,2,1,happy death day runner,,,920433948555137024,-0.0516,0.406,0.385,0.208,Neg
43,WhittierVillage,2017-10-17 19:38,0,0,trying survive,,#HappyDeathDay,920433947632431104,0.0,0.0,0.0,1.0,Neu
44,spacewerthers,2017-10-17 19:38,0,2,went saw happy death day last night know expecting worst ok,,,920433926681665536,-0.4767,0.383,0.282,0.335,Neg
45,trisqrcinemas,2017-10-17 19:38,0,0,trying survive,,#HappyDeathDay,920433905563570176,0.0,0.0,0.0,1.0,Neu
46,Mr_Forgiving,2017-10-17 19:38,0,0,go see happy death day shit give back tho,,,920433897128722432,-0.5859,0.436,0.215,0.349,Neg
47,cinemacty,2017-10-17 19:38,0,0,trying survive,,#HappyDeathDay,920433894066925569,0.0,0.0,0.0,1.0,Neu
48,linny_pinnyx,2017-10-17 19:38,1,2,silly worth thanks tickets,@Universal_Irl,#HappyDeathDay,920433783916171264,0.5994,0.0,0.855,0.145,Pos
49,DamnItStu,2017-10-17 19:37,0,0,happy death day,,,920433669575204869,-0.0516,0.453,0.43,0.116,Neg
50,reenage23,2017-10-17 19:37,0,0,go see happy death day,,,920433503749120001,-0.0516,0.368,0.349,0.283,Neg
51,Gabriel23415378,2017-10-17 19:36,0,0,going see happy death day bitches,,#OG,920433467535642625,-0.6249,0.538,0.255,0.207,Neg
52,adrienne_bc,2017-10-17 19:36,0,13,see happy death day,,,920433467002900480,-0.0516,0.406,0.385,0.208,Neg
53,KuraMcGarden,2017-10-17 19:36,0,3,get dressed got tickets happy death day,,,920433430571167745,-0.0516,0.31,0.294,0.397,Neu
54,noodleluvr,2017-10-17 19:35,0,3,bouta see happy death day let yall know,,,920433114375245824,-0.0516,0.287,0.272,0.441,Neu
55,wallyisdead_,2017-10-17 19:34,0,0,liked video happy death day movie review,@YouTube,,920432908007018496,0.3818,0.271,0.451,0.278,Pos
56,KingAlece,2017-10-17 19:34,0,0,lmaoooo gonna go see happy death day tonight fr,,,920432883596189696,-0.0516,0.267,0.253,0.479,Neu
57,kikecay,2017-10-17 19:34,0,0,blade runner happy death day,,,920432747700568064,-0.0516,0.368,0.349,0.283,Neg
58,poohbadazz_,2017-10-17 19:33,0,0,gotta go see happy death day fell asleep mfa,,,920432591345471488,-0.0516,0.267,0.253,0.479,Neu
59,infoapasajadeh,2017-10-17 19:32,0,0,saksikan film dari happy death day hari ini tyg reguler di seluruh bioskop,,,920432451754659841,-0.0516,0.21,0.199,0.591,Neu
60,Sassykellie019,2017-10-17 19:32,0,0,wanna see happy death day ugh,,,920432398759858178,-0.4588,0.5,0.276,0.224,Neg
61,TaJaraaaaa,2017-10-17 19:32,0,0,ready go see happy death day,,,920432378195185665,0.3182,0.298,0.473,0.229,Pos
62,valdezcharlie10,2017-10-17 19:32,4,2,wanna see happy death day,,,920432234292744192,-0.0516,0.368,0.349,0.283,Neg
63,infoapasajadeh,2017-10-17 19:31,0,0,berhasilkah tree memutuskan time loop yang ia siapakah pembunuh yang mengincar nyawa,,#HappyDeathDay,920432175501025280,0.0,0.0,0.0,1.0,Neu
64,infoapasajadeh,2017-10-17 19:31,0,0,berusaha keluar dari time loop di hari ulang tahunnya terus tree memutuskan untuk mencari tau pembunuh,,#HappyDeathDay,920432076565856256,0.0,0.0,0.0,1.0,Neu
65,DejahCosta_,2017-10-17 19:31,0,0,someone go see happy death day w,,,920432014620282883,-0.0516,0.336,0.319,0.345,Neu
66,AJGVulture89,2017-10-17 19:30,0,0,saw get need see look watched happy death day pleasantly surprised,,,920431979077697536,0.5859,0.199,0.444,0.357,Pos
67,PENGUIN0FGOTHAM,2017-10-17 19:30,0,0,got done watching happy death day shock amazing movie fav movie ever seen worth fullprice buy bluray,,,920431969191698435,0.7096,0.217,0.415,0.368,Pos
68,nickrusk1,2017-10-17 19:30,0,0,seen happy death day,@laurenfrancesca,,920431933460492288,-0.0516,0.406,0.385,0.208,Neg
69,talkfilmr,2017-10-17 19:30,0,0,happy death day day coming cinemas,,#HappyDeathDay #trailer,920431908567228418,-0.0516,0.336,0.319,0.345,Neu
70,ruthlezznigga,2017-10-17 19:30,0,0,happy death day later,,,920431897716633600,-0.0516,0.406,0.385,0.208,Neg
71,_TayJanay,2017-10-17 19:30,0,1,happy death day trash save money,,,920431825121697792,0.4588,0.283,0.5,0.217,Pos
72,infoapasajadeh,2017-10-17 19:29,0,0,tree gelbman seorang mahasiswi terjebak dalam hari yang sama bertepatan dengan hari,,#HappyDeathDay,920431701741809664,0.0,0.0,0.0,1.0,Neu
73,LamarKukuk,2017-10-17 19:29,0,0,loved lot esp scream queen tony cool end journey beginning,@jessica_rothe @the,#HappyDeathDay,920431632624087041,0.5423,0.17,0.39,0.44,Neu
74,JavisGonzalez01,2017-10-17 19:29,0,0,happy death day one greatest movies,@UniversalHorror,#HappyDeathDay,920431549111242753,0.6124,0.264,0.534,0.203,Pos
75,NamesFargo,2017-10-17 19:28,0,1,happy death day good ass movie,,,920431454722711553,-0.2023,0.463,0.412,0.125,Neg
76,Soccer_Geeked,2017-10-17 19:28,0,0,got one see happy death day,,,920431279375634442,-0.0516,0.336,0.319,0.345,Neu
77,ShockWavesPod,2017-10-17 19:27,3,19,ep talking lgbt horror happy death day director christopher google play,,,920431113729843200,-0.3612,0.367,0.295,0.338,Neg
78,MeganOlszanski,2017-10-17 19:27,0,2,happy death day actually wild asf definitely recommend going see,,,920431090791313408,0.6124,0.207,0.473,0.319,Pos
79,ryanking72,2017-10-17 19:27,0,0,saw happy death day definitely hate watching review,,#HappyDeathDay #NotThatBad,920431076824272896,-0.296,0.422,0.356,0.222,Neg
80,nancycowww,2017-10-17 19:27,0,2,wanna watch happy death day,,,920431054351036417,-0.0516,0.368,0.349,0.283,Neg
81,guapo_money17,2017-10-17 19:26,0,0,happy death day pretty dope,,,920430950495936513,0.4588,0.305,0.539,0.156,Pos
82,darkmaraj,2017-10-17 19:26,0,1,happy death day,@ShowcaseUS,#NowWatching,920430943504076800,-0.0516,0.453,0.43,0.116,Neg
83,infoapasajadeh,2017-10-17 19:26,0,0,simak dulu kuy sinopsis singkat yang plotnya perpaduan groundhog day,,#HappyDeathDay,920430778504192000,0.0,0.0,0.0,1.0,Neu
84,cutejsw,2017-10-17 19:25,0,0,happy death day good movie tbh lot jumpscares ajzjsn,,,920430700611895298,0.4019,0.236,0.4,0.364,Pos
85,haIIowcen,2017-10-17 19:25,0,11,happy death day,,,920430509435518976,-0.0516,0.453,0.43,0.116,Neg
86,d_boy98,2017-10-17 19:24,0,0,peli de happy death day luego les cuento que tal para que aprovechen el viernes de cine,,,920430467689713664,-0.0516,0.173,0.164,0.664,Neu
87,SevianaDwiStya,2017-10-17 19:24,1,0,pengabdi happy death day,,,920430323585892353,-0.0516,0.406,0.385,0.208,Neg
88,damonedamon,2017-10-17 19:24,0,1,happy death day,,#movienight,920430262600785920,-0.0516,0.453,0.43,0.116,Neg
89,Micro_Blogs,2017-10-17 19:22,0,0,happy death day open top spots,,#_B_P,920429869959229440,0.1531,0.315,0.444,0.242,Pos
90,vanessaa_jb,2017-10-17 19:22,0,2,wanna see happy death day tonight,,,920429859377053699,-0.0516,0.336,0.319,0.345,Neu
91,GeeksGamersCom,2017-10-17 19:22,8,4,takes stab reviewing,@Deezus12 @blumhouse,#HappyDeathDay #Horror #Halloween,920429845410140160,-0.5859,0.655,0.0,0.345,Neg
92,WolfmanWit,2017-10-17 19:22,0,1,pretty fun look,,#HappyDeathDay #WitmerReviews,920429835045953536,0.7579,0.0,0.867,0.133,Pos
93,22ndnotpregnant,2017-10-17 19:21,1,1,happy death day trash movie save,,,920429676572696577,0.4588,0.283,0.5,0.217,Pos
94,crtnykellr,2017-10-17 19:21,0,0,went seen happy death day actually,,,920429654074363905,-0.0516,0.336,0.319,0.345,Neu
95,Creature_Kris,2017-10-17 19:20,0,0,happy death day,,,920429441095888899,-0.0516,0.453,0.43,0.116,Neg
96,samby5,2017-10-17 19:20,0,0,liked video box office happy death day blade runner,@YouTube,,920429421529632768,0.3818,0.238,0.396,0.366,Pos
97,KC102,2017-10-17 19:20,0,0,happy death day,,#1,920429410465075201,-0.0516,0.453,0.43,0.116,Neg
98,janeglennn,2017-10-17 19:20,0,0,happy death day,,,920429276989501440,-0.0516,0.453,0.43,0.116,Neg
99,megankc4,2017-10-17 19:19,1,0,really want watch happy death day,,,920429192612859904,0.1672,0.313,0.446,0.241,Pos
100,sandyn75,2017-10-17 19:19,0,0,neutral,,#HappyDeathDay,920429190528237568,0.0,0.0,0.0,1.0,Neu
101,sandyn75,2017-10-17 19:19,0,1,quite enjoyed thanks tickets,@Universal_Irl,#HappyDeathDay,920429106814181378,0.7764,0.0,0.772,0.228,Pos
102,HHNDawg,2017-10-17 19:19,0,1,seeing,@UniversalHorror,#HappyDeathDay,920429085590945792,0.0,0.0,0.0,1.0,Neu
103,lavidiote,2017-10-17 19:18,0,0,movie happy death day watched yvespoppelaars,,#love,920428861963325440,-0.0516,0.336,0.319,0.345,Neu
104,alexarxse,2017-10-17 19:18,0,0,happy death day good shook,,,920428852266045441,0.3182,0.411,0.512,0.078,Pos
105,infoapasajadeh,2017-10-17 19:17,0,0,ada film baru minggu ini yang tayang mulai hari ini sudah bisa di saksikan hari ini di seluruh bioskop,,#HappyDeathDay,920428660024262656,0.0,0.0,0.0,1.0,Neu
106,THENICHOLASSIMS,2017-10-17 19:17,0,3,see foreigner happy death day,,,920428619620601858,-0.0516,0.368,0.349,0.283,Neg
107,mac_aaroni,2017-10-17 19:16,1,0,anybody saw happy death day worth,,,920428264610549761,0.1779,0.312,0.448,0.24,Pos
108,Dzzle_D,2017-10-17 19:15,0,0,happy death day surprisingly good,,,920428149812486145,0.5994,0.285,0.642,0.073,Pos
109,kar1itoz,2017-10-17 19:15,0,0,con candelaria estoy viendo happy death day en gqt holland,,,920428033663750144,-0.0516,0.25,0.237,0.513,Neu
110,Guanare,2017-10-17 19:15,0,0,happy death day open top spots,,#_B_P,920427974171664384,0.1531,0.315,0.444,0.242,Pos
111,meganmingersoll,2017-10-17 19:14,0,0,seen happy death day,,,920427946690584576,-0.0516,0.406,0.385,0.208,Neg
112,KingggTama,2017-10-17 19:13,0,0,unwind,,#happydeathday,920427462911131648,0.0,0.0,0.0,1.0,Neu
113,Trianaarechiga,2017-10-17 19:12,0,2,anyone wants come see happy death day hmu,,,920427448717795333,-0.0516,0.287,0.272,0.441,Neu
114,meyersfaith1,2017-10-17 19:12,0,0,happy death day good movie,,,920427425963692034,0.4019,0.312,0.528,0.16,Pos
115,younghambino,2017-10-17 19:12,0,0,main character happy death day blackface,,,920427405373792262,-0.0516,0.336,0.319,0.345,Neu
116,yourstrulyVL,2017-10-17 19:12,1,0,ever since watched happy death day stop saying byyyyyye like bitch,,,920427395814952961,-0.5719,0.448,0.281,0.271,Neg
117,EmilyMazzarella,2017-10-17 19:12,0,1,happy death day good,,,920427373320863744,0.4019,0.339,0.574,0.087,Pos
118,alexe623,2017-10-17 19:11,0,3,someone pls see happy death day w weekend,,,920427199597039617,0.0258,0.302,0.388,0.31,Pos
119,Deezus12,2017-10-17 19:11,1,2,clever fantastic lead unique use well,,#horror #HappyDeathDay #31DaysOfHorror,920427186645012481,0.8271,0.0,0.744,0.256,Pos
120,blondemacaron,2017-10-17 19:11,0,3,go vip mills recliner seats fairview stand today froyo yum,,#HappyDeathDay,920427117707345920,0.5106,0.0,0.268,0.732,Neu
121,hellhorror,2017-10-17 19:11,3,5,rt takes stab reviewing,@GeeksGamersCom @Deezus12 @blumhouse,#HappyDeathDay #Horror #Halloween,920427110447112193,-0.5859,0.559,0.0,0.441,Neg
122,AJGVulture89,2017-10-17 19:11,0,1,happy death day biggest surprise fantastic loved,@jessica_rothe,,920427075189829632,0.8555,0.203,0.693,0.104,Pos
123,SK1NNYM1NNY,2017-10-17 19:10,0,1,happy death day obvious,,,920426761749434374,-0.0516,0.406,0.385,0.208,Neg
124,GillianLouise13,2017-10-17 19:10,0,2,sht sana makuha ko na yung passes hahaha gusto ko ng mapanood yung happy death day gaaahhddd,,,920426736675721217,0.5267,0.155,0.29,0.556,Neu
125,KIDDCAPO_MOB,2017-10-17 19:09,0,0,bout see happy death day talkin bout,,,920426688273666048,-0.0516,0.31,0.294,0.397,Neu
126,LouanyCunha,2017-10-17 19:09,0,0,happy death day ce,@UCICinemas,,920426554726993920,-0.0516,0.406,0.385,0.208,Neg
127,GeeksGamersCom,2017-10-17 19:09,0,0,takes stab reviewing,@Deezus12 @blumhouse,#HappyDeathDay #Horror #Halloween,920426467909099520,-0.5859,0.655,0.0,0.345,Neg
128,BecsBenedetti,2017-10-17 19:08,0,2,wow loved happy death day,@UniversalHorror,,920426211502895105,0.8176,0.239,0.699,0.061,Pos
129,__xtai,2017-10-17 19:08,0,0,happy death day good,,,920426205236662274,0.4019,0.339,0.574,0.087,Pos
130,Itsjaykeels,2017-10-17 19:06,0,0,marshall happy death day,,,920425931969323010,-0.0516,0.406,0.385,0.208,Neg
131,GlenmarieR,2017-10-17 19:06,0,1,happy death day estuvo buenaa,,,920425860850741248,-0.0516,0.368,0.349,0.283,Neg
132,J_Majesty_,2017-10-17 19:06,0,2,thought happy death day really,,,920425729002582016,-0.0516,0.368,0.349,0.283,Neg
133,yessicasarahi,2017-10-17 19:05,0,0,happy death day good,,,920425474299379712,0.4019,0.339,0.574,0.087,Pos
134,NiceNIzzy,2017-10-17 19:04,0,1,gonna pretend anything watching happy death day,,,920425268677959680,-0.1531,0.408,0.285,0.308,Neg
135,homerpower2000,2017-10-17 19:04,0,1,want still need see original know need liked happy death day fun movie honestly better,,,920425200738537472,0.9246,0.129,0.639,0.232,Pos
136,ethansslegacy,2017-10-17 19:03,0,0,going see happy death day bestfriends friday,,,920425051916300291,-0.0516,0.31,0.294,0.397,Neu
137,AvonFoerster,2017-10-17 19:03,0,12,thanks letting happy death day use since properly pronounced shout,,,920424938024050688,0.4019,0.223,0.377,0.4,Neu
138,BORReport,2017-10-17 19:02,0,0,daily box office report october,,#BoxOffice #BladeRunner2049 #HappyDeathDay #TheForeigner,920424859187814400,0.0,0.0,0.0,1.0,Neu
139,WilfredQuiones1,2017-10-17 19:02,4,1,busco un date que ver happy death day,,,920424694830063616,-0.0516,0.287,0.272,0.441,Neu
140,qqueensheba,2017-10-17 19:01,0,0,happy death day shit really legit,,,920424637183545346,-0.5859,0.528,0.261,0.211,Neg
141,OfficialYPA,2017-10-17 19:01,0,0,neutral,@natalieemmons,#HappyDeathDay,920424636977905664,0.0,0.0,0.0,1.0,Neu
142,rynecallahan,2017-10-17 19:01,0,1,happy death day,,,920424576546430977,-0.0516,0.453,0.43,0.116,Neg
143,KbA3_x0,2017-10-17 19:00,1,0,need see happy death day,,,920424249541775360,-0.0516,0.368,0.349,0.283,Neg
144,h16imax,2017-10-17 19:00,0,0,come see happy death day starring israel jessica movie critics calling,,,920424203563696130,-0.34,0.343,0.208,0.449,Neu
145,FakeShemp,2017-10-17 18:59,0,0,got movie question tonight blade runner happy death day seen blade want see happy death day,,,920424151390806017,-0.0258,0.284,0.316,0.4,Neu
146,charley152,2017-10-17 18:59,0,0,tim never got come tree confronted sexuality tim still,,#Pray4Tim #happydeathday,920424149847228417,-0.2023,0.184,0.0,0.816,Neu
147,VigiKelly,2017-10-17 18:58,0,1,box office happy death day blade runner via,@YouTube,,920423875921539072,-0.0516,0.287,0.272,0.441,Neu
148,charliezicari,2017-10-17 18:57,0,0,totally see,,#HappyDeathDay,920423628646375424,0.0,0.0,0.0,1.0,Neu
149,Mateo1876gunner,2017-10-17 18:57,0,0,happy death day budget million made good job,,,920423564100145153,0.4019,0.252,0.426,0.323,Pos
150,Sara__Vanessa,2017-10-17 18:56,0,0,happy death day,,,920423185220284417,-0.0516,0.453,0.43,0.116,Neg
151,_libby5,2017-10-17 18:55,3,2,trying go see happy death day go pumpkin patch weekend,,,920423018148478976,-0.0516,0.25,0.237,0.513,Neu
152,SoloWright21,2017-10-17 18:55,0,0,anyone seen happy death day wanna know worth go,,,920422989039943680,0.1779,0.252,0.361,0.387,Neu
153,southsidelili,2017-10-17 18:55,0,0,happy death day,,,920422957368799233,-0.0516,0.453,0.43,0.116,Neg
154,TODDCastPodcast,2017-10-17 18:55,0,0,heard powered get,@Penthouse604,#Letterman #LAGuns #HappyDeathDay,920422944177901568,0.0,0.0,0.0,1.0,Neu
155,LawrioPlays,2017-10-17 18:55,0,2,since watched sis interest idiots gonna go watch happy death day,,,920422938083495936,0.4215,0.21,0.36,0.43,Neu
156,pepsi_coke_001,2017-10-17 18:54,0,0,happy death day,,,920422703512690688,-0.0516,0.453,0.43,0.116,Neg
157,VIVALABUFFY,2017-10-17 18:54,0,0,liked happy death day,,,920422703332442113,0.3818,0.342,0.57,0.088,Pos
158,LifeOfAshleigh,2017-10-17 18:53,0,3,someone go see happy death day plz,,,920422624169099265,0.0258,0.302,0.388,0.31,Pos
159,JOHNERIGO1,2017-10-17 18:53,0,0,watching happy death day amc loews freehold metroplex cinema,,,920422611208851459,0.128,0.255,0.353,0.392,Neu
160,SincerelyAron,2017-10-17 18:53,0,1,yoooo good,,#HappyDeathDay,920422474000384001,0.4404,0.0,0.744,0.256,Pos
161,XOXOJasmiiine,2017-10-17 18:52,0,1,disappointed da club played single time happy death day,,,920422314684178432,-0.2263,0.387,0.337,0.276,Neg
162,Kayleeeaaahhh_,2017-10-17 18:52,0,0,somebody taking see happy death day tonight,,,920422264138498049,-0.0516,0.31,0.294,0.397,Neu
163,mrpaulmarchand,2017-10-17 18:52,0,2,actually believe sean would tell happy death day,,,920422223558590465,-0.0516,0.287,0.272,0.441,Neu
164,_MarkThompson,2017-10-17 18:52,0,11,happy death day geostorm movies would playing movie theater drake josh,,,920422188985044992,0.1531,0.224,0.316,0.46,Neu
