body,date,retweets,favorites,mentions,hashtags,geo,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,Indicator,GT
esquema assistir deadpool pela porque pirataria nois,2016-02-15 18:59:58,0,0,,,,0.0,0.0,0.0,1.0,NN,77
eu vi deadpool via,2016-02-15 18:59:58,0,1,@GeekTrooper,,,0.0,0.0,0.0,1.0,NN,77
deadpool variant cover,2016-02-15 05:35:55,18,9,,#3 #spideypool,,0.0,0.0,0.0,1.0,NN,77
deadpool sequel,2016-02-15 18:55:01,1,0,,#Deadpool #RyanReynolds,,0.0,0.0,0.0,1.0,NN,77
deadpool ryan reynolds rocked fucking wait,2016-02-15 18:59:58,0,0,,,,0.0,0.0,0.0,1.0,NN,77
thank making valentines truly sorry lawn great work,2016-02-14 15:54:14,3614,13113,@edskrein @VancityReynolds @Kinberg,#Deadpool,,0.8481,0.088,0.642,0.27,PP,77
go see deadpool,2016-02-12 15:03:24,9353,4192,,,,0.0,0.0,0.0,1.0,NN,77
deadpool movie execs spluttering coffee black widow,2016-02-15 17:46:19,199,321,,,,0.0,0.0,0.0,1.0,NN,77
deadpool,2016-02-15 18:59:57,0,0,,,,0.0,0.0,0.0,1.0,NN,77
retweet follow chance win deadpool funko pop,2016-02-15 18:07:47,314,95,@LooperHQ,,,0.7003,0.0,0.537,0.463,PP,77
friend talking great deadpool unintentionally went emotional rant love,2016-02-15 18:59:56,0,1,,,,0.8934,0.123,0.672,0.205,PP,77
ta ligado q meu namorado levou pra assistir deadpool e agr ta com medo dia internacional da mulher,2016-02-15 18:59:56,0,0,,,,0.0,0.0,0.0,1.0,NN,77
time watch deadpool,2016-02-15 18:59:56,0,0,,,,0.0,0.0,0.0,1.0,NN,77
vai fica odio pq eu fui ver deadpool sem ela kkkk,2016-02-15 18:59:56,1,0,,,,0.0,0.0,0.0,1.0,NN,77
este comic de ingresa hoy las,2016-02-15 18:59:55,0,2,,#deadpool #labaticuevanx,,0.0,0.0,0.0,1.0,NN,77
deadpool steps points treadmill next got right wearing brown,2016-02-15 18:59:55,0,1,@Lil_SJL,,,0.0,0.0,0.0,1.0,NN,77
put box office success,2016-02-14 20:46:38,444,455,,#Deadpool,,0.5719,0.0,0.552,0.448,PP,77
ai assisti deadpool kkkkkkkkkkkk,2016-02-15 18:59:54,0,0,,,,0.0,0.0,0.0,1.0,NN,77
