body,date,retweets,favorites,mentions,hashtags,geo,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,Indicator,GT
acho que meu problema com deadpool era fato de ser,2016-02-12 18:59:59,0,1,,,,0.0,0.0,0.0,1.0,NN,77
tried see deadpool last night sold luckily rebel wilson hilarious almost peed laughing,2016-02-12 18:59:59,0,0,,,,0.8085,0.082,0.457,0.461,PP,77
deadpool pls,2016-02-12 18:59:59,0,8,,,,0.0772,0.0,0.565,0.435,PP,77
quero ver deadpool mas oq faze quando vc nao tem,2016-02-12 18:59:59,0,0,,,,0.0,0.0,0.0,1.0,NN,77
deadpool decent batman vs superman next biggie,2016-02-12 18:59:59,1,1,,,,0.0,0.0,0.0,1.0,NN,77
rt follow chance win deadpool miss deadpool,2016-02-12 15:00:08,8372,1862,@OriginalFunko,,,0.6369,0.14,0.509,0.351,PP,77
mean deadpool xmen origins wolverine watered actual character,2016-02-12 18:59:58,0,0,@SupaFly80sbaby,,,0.0,0.0,0.0,1.0,NN,77
much coming,2016-02-12 17:41:38,2,5,@https,#Deadpool #2016 #CivilWar #TeamCap #TeamIronMan,,0.0,0.0,0.0,1.0,NN,77
watching,2016-02-11 23:29:16,241,400,,#deadpool,,0.0,0.0,0.0,1.0,NN,77
like si como,2016-02-11 10:25:27,705,1931,,#chimichangamadre #Deadpool #Chimichanga,,0.3612,0.0,0.556,0.444,PP,77
rt follow chance win deadpool miss deadpool,2016-02-12 17:00:08,8787,2183,@OriginalFunko,,,0.6369,0.14,0.509,0.351,PP,77
come see deadpool w,2016-02-12 18:59:58,0,1,@oyewaffle,,,0.0,0.0,0.0,1.0,NN,77
en la vague de la grosse merde et deadpool une tuerie,2016-02-12 18:59:58,0,0,,,,-0.1027,0.123,0.0,0.877,Neg,77
receba recado especial seu escreva para deadpool usando e,2016-02-11 17:20:37,2726,9815,,#DeadpoolResponde,,0.0,0.0,0.0,1.0,NN,77
deadpool quite possibly one best films ever brilliant,2016-02-12 18:59:57,0,0,,,,0.8505,0.0,0.579,0.421,PP,77
wanna see deadpool weekend,2016-02-12 18:59:56,2,1,,,,0.0,0.0,0.0,1.0,NN,77
long years waiting deadpool movie disappointed everyone feel deadpool l,2016-02-12 18:59:56,0,2,,#Deadpool #bestfilm,,-0.4767,0.279,0.0,0.721,Neg,77
saudades deadpool,2016-02-12 18:59:56,0,0,,,,0.0,0.0,0.0,1.0,NN,77
guy tearing tickets deadpool goes boyfriend make uh ryan hot,2016-02-12 18:59:55,0,4,,,,0.0,0.0,0.0,1.0,NN,77
vem aquele amiguinho facebook fazer critica sobre deadpool critico de cinema filho stan lee herdeiro da marvel,2016-02-12 18:56:23,5,4,,,,0.4215,0.0,0.149,0.851,PP,77
