body,date,retweets,favorites,mentions,hashtags,geo,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,Indicator,GT
marketing team deadpool,2016-02-24 18:59:58,0,2,@LuisCampos_DG,,,0.0,0.0,0.0,1.0,NN,28
salido hace nada del cine deadpool es una,2016-02-24 18:59:58,0,16,,,,0.0,0.0,0.0,1.0,NN,28
hell,2016-02-24 18:59:57,0,1,@reconbot,#Deadpool,,-0.6808,1.0,0.0,0.0,Neg,28
neutral,2016-02-24 18:59:56,0,0,,#ajax #deadpool #deadpoolmovie,,0.0,0.0,0.0,1.0,NN,28
yo lo vere ido ver deadpool,2016-02-24 18:59:55,0,1,@GRRMartinez,,,0.0,0.0,0.0,1.0,NN,28
deadpool triggers chart gains teamheadkick juice newton,2016-02-24 18:58:04,8,7,,,,0.34,0.0,0.286,0.714,PP,28
creo que deadpool es una de las mejores que vi,2016-02-24 18:59:52,0,0,,,,0.0,0.0,0.0,1.0,NN,28
seen,2016-02-24 18:59:50,0,0,,#Deadpool #Francis #TheMercwiththemouth,,0.0,0.0,0.0,1.0,NN,28
like like deadpool first r rated comic book made,2016-02-24 18:59:49,0,0,@elmayimbe @thr @johncampea,,,0.6124,0.0,0.455,0.545,PP,28
need see deadpool,2016-02-24 18:59:49,5,0,,,,0.0,0.0,0.0,1.0,NN,28
wolverine vs deadpool thats wash cut head,2016-02-24 18:59:48,0,0,,,,-0.2732,0.259,0.0,0.741,Neg,28
deadpool vamos por,2016-02-24 18:59:48,0,0,,#deadpool,,0.0,0.0,0.0,1.0,NN,28
kerasotes showplace deadpool nj,2016-02-24 18:59:44,0,0,,,,0.0,0.0,0.0,1.0,NN,28
btw tlist hoy vi deadpool verla toh el mundo,2016-02-24 18:59:41,0,0,,,,0.0,0.0,0.0,1.0,NN,28
deadpool muito companhia melhor ainda,2016-02-24 18:59:41,0,0,,,,0.0,0.0,0.0,1.0,NN,28
la mejor de la vida deadpool,2016-02-24 18:59:40,0,0,,,,0.0,0.0,0.0,1.0,NN,28
parents love black history going see race instead deadpool,2016-02-24 18:59:38,1,7,,,,0.6369,0.0,0.344,0.656,PP,28
es una con la que te puedes,2016-02-24 18:59:37,0,0,,#Deadpool,,0.0,0.0,0.0,1.0,NN,28
took selfie pal dead pool,2016-02-24 18:59:37,0,0,,#deadpool #marvel,,-0.6486,0.518,0.0,0.482,Neg,28
first ign unboxing find deadpool themed marvel collector corps,2016-02-24 18:59:36,12,59,@Charalanahzard,,,0.4215,0.0,0.259,0.741,PP,28
chibi deadpool custom shoes,2016-02-24 18:59:35,0,0,,#ArtScribbles,,0.0,0.0,0.0,1.0,NN,28
deadpool esa mezcla de humor es ir con fetos,2016-02-24 18:59:35,0,0,,,,0.2732,0.0,0.208,0.792,PP,28
impresionante,2016-02-24 18:59:34,0,1,,#Deadpool,,0.0,0.0,0.0,1.0,NN,28
liked video salt n pepa shoop deadpool trailer hd,2016-02-24 18:59:34,0,0,@YouTube,,,0.4215,0.0,0.286,0.714,PP,28
deadpool venti travel mug nsfw,2016-02-24 18:59:33,0,0,,#printandclay,,0.0,0.0,0.0,1.0,NN,28
deadpool even better second,2016-02-24 18:59:31,0,1,,,,0.4404,0.0,0.492,0.508,PP,28
zoolander vs deadpool,2016-02-24 18:59:29,0,0,,,,0.0,0.0,0.0,1.0,NN,28
al finnnnnn estoy viendo deadpool en cinemark multicentro,2016-02-24 18:59:28,0,0,,,,0.0,0.0,0.0,1.0,NN,28
nome filme deadpool e,2016-02-24 18:59:27,0,1,,,,0.0,0.0,0.0,1.0,NN,28
buddy makes customized beard thought one deadpool pure,2016-02-24 18:59:27,0,0,,#beardclubformen,,0.0,0.0,0.0,1.0,NN,28
deadpool,2016-02-24 18:59:27,0,0,,,,0.0,0.0,0.0,1.0,NN,28
huge congratulations deadpool let david fincher make goon,2016-02-24 18:59:21,0,0,@timblur,,,0.7351,0.0,0.508,0.492,PP,28
buenas risas con deadpool aunque la escena post muy troll ser de otra,2016-02-24 18:59:21,0,1,,,,0.0,0.0,0.0,1.0,NN,28
ad deadpool,2016-02-24 18:59:20,0,0,,#iFunny,,0.0,0.0,0.0,1.0,NN,28
la de deadpool que puta maravilla,2016-02-24 18:59:19,0,5,,,,0.0,0.0,0.0,1.0,NN,28
vi gracias los amigos de la prima de mi mano derecha,2016-02-24 18:59:15,1,2,@Marsanmillan,#Deadpool,,0.0,0.0,0.0,1.0,NN,28
watched spain deadpool want marry,2016-02-24 18:59:14,0,0,@deadpoolmovie @VancityReynolds,,,0.0772,0.0,0.245,0.755,PP,28
salido del cine de ver puedo,2016-02-24 18:59:13,0,2,,#Deadpool,,0.0,0.0,0.0,1.0,NN,28
deadpool movie spoiler fan geared via,2016-02-24 18:59:12,1,0,@YouTube,,,0.3182,0.0,0.315,0.685,PP,28
neutral,2016-02-24 18:59:11,0,0,,#ForSale #Lootcrate #Funko #Marvel #CollectorCorps #Exclusive #Items #Dorbz #Mopeez #DeadPool #Halo #buy,,0.0,0.0,0.0,1.0,NN,28
deadpool en una quedan menos en mi lml,2016-02-24 18:59:10,0,0,,,,0.0,0.0,0.0,1.0,NN,28
pffff hacia falta una como deadpool,2016-02-24 18:59:10,0,1,,,,0.0,0.0,0.0,1.0,NN,28
deadpool changed r vulture,2016-02-24 18:59:10,0,0,,#grammys,,-0.4588,0.6,0.0,0.4,Neg,28
ta cara de deadpool,2016-02-24 18:59:08,0,0,,,,0.0,0.0,0.0,1.0,NN,28
deadpool handle complex origin story,2016-02-24 18:59:08,1,1,,#Deadpool,,0.0,0.0,0.0,1.0,NN,28
impresionante deadpool mis,2016-02-24 18:59:08,0,0,,,,0.0,0.0,0.0,1.0,NN,28
confira nossa de deadpool,2016-02-24 18:59:07,0,1,,#Deadpool #PeideieSa,,0.0,0.0,0.0,1.0,NN,28
deadpool movie deleted scenes rejected characters,2016-02-24 18:59:07,0,1,,#Deadpool,,-0.5106,0.398,0.0,0.602,Neg,28
liked video joker harley quinn vs deadpool domino super power beat,2016-02-24 18:59:05,0,0,@YouTube,,,0.802,0.0,0.506,0.494,PP,28
mi sobre deadpool,2016-02-24 18:59:04,0,1,,,,0.0,0.0,0.0,1.0,NN,28
chimichanga con participar en el concurso de,2016-02-24 18:59:02,0,0,@aullidos,#Deadpool,,0.0,0.0,0.0,1.0,NN,28
meant tweet days ago deadpool movie ever,2016-02-24 18:59:01,0,0,,,,0.0,0.0,0.0,1.0,NN,28
late fuck dude deadpool actually good af,2016-02-24 18:58:58,1,5,,,,-0.1531,0.307,0.254,0.439,Neg,28
tellement bien xd,2016-02-24 18:58:57,0,1,,#DeadPool,,0.5859,0.0,0.655,0.345,PP,28
tad frustrated r rated trend marvel kids,2016-02-24 18:58:56,0,0,,#deadpool #thankshollywood,,-0.1531,0.333,0.275,0.392,Neg,28
epic deadpool prize pack giveaway,2016-02-24 18:58:56,0,0,@screenrant @collectsideshow,,,0.5106,0.0,0.452,0.548,PP,28
success r,2016-02-24 18:58:55,0,0,,#Deadpool #movies #news #movienews #Marvel #Marvelmovies #TeamDeadpool,,0.5719,0.0,1.0,0.0,PP,28
ha gustado un de de deadpool confirma la de los vengadores,2016-02-24 18:58:53,0,0,@YouTube,,,0.34,0.0,0.194,0.806,PP,28
deadpool one best marvel movie ever made,2016-02-24 18:58:53,0,1,,,,0.7906,0.0,0.583,0.417,PP,28
deadpool molded coffee mug start day right deadpool coffee,2016-02-24 18:58:52,0,0,,,,0.0,0.0,0.0,1.0,NN,28
deadpool vai sair de cartaz e eu ainda vi,2016-02-24 18:58:51,1,0,,,,0.0,0.0,0.0,1.0,NN,28
saskatchewan snowmobile worthy deadpool chris eger,2016-02-24 18:58:51,0,0,,,,0.4404,0.0,0.367,0.633,PP,28
gostei de um de rap deadpool tauz raptributo,2016-02-24 18:58:49,0,0,@YouTube @tauzoficial,,,0.0,0.0,0.0,1.0,NN,28
giving away rt follow chance win,2016-02-24 18:58:48,0,0,@BCPlushToys @deadpoolmovie @VancityReynolds,#Deadpool,,0.802,0.0,0.732,0.268,PP,28
russia box stays,2016-02-24 18:58:48,0,0,,#Deadpool,,0.0,0.0,0.0,1.0,NN,28
one deadpool fan,2016-02-24 18:58:45,0,1,@lootcrate,,,0.3182,0.0,0.535,0.465,PP,28
el que viene voy ir ver solo deadpool,2016-02-24 18:58:44,0,0,,,,0.0,0.0,0.0,1.0,NN,28
fran barroso con un deadpool en,2016-02-24 18:58:43,0,1,,,,0.0,0.0,0.0,1.0,NN,28
necesito que termine la prensa de deadpool porque parece penoso ese lo que sea que quiero ver su,2016-02-24 18:58:41,0,0,,,,0.0,0.0,0.0,1.0,NN,28
lorne deadpool host saturday night live sign via,2016-02-24 18:58:39,0,0,@CdnChange,,,0.0,0.0,0.0,1.0,NN,28
quiero ver deadpool,2016-02-24 18:58:39,0,0,,,,0.0,0.0,0.0,1.0,NN,28
