body,date,retweets,favorites,mentions,hashtags,geo,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,Indicator,GT
vamos ver deadpool,2016-02-20 18:59:59,0,0,,,,0.0,0.0,0.0,1.0,NN,62
comentario random horas deadpool ha,2016-02-20 18:59:59,0,0,,,,0.34,0.0,0.375,0.625,PP,62
deadpool well done,2016-02-20 16:18:39,22351,52525,@VancityReynolds,#killedit #maximumeffort,,0.2732,0.0,0.512,0.488,PP,62
deadpool well done,2016-02-20 16:18:39,22351,52525,@VancityReynolds,#killedit #maximumeffort,,0.2732,0.0,0.512,0.488,PP,62
mi padre tambien sabe romper la cuarta pared como deadpool ayer rompio la de mi cuarto luego partio una pierna,2016-02-20 18:59:19,25,26,,,,0.0,0.0,0.0,1.0,NN,62
believe hype good great job funny,2016-02-17 19:57:54,7527,27566,@VancityReynolds @nottjmiller,#Deadpool,,0.872,0.0,0.767,0.233,PP,62
oh also meant message u went see deadpool today civil war trailer came fuck ing slaughtered,2016-02-20 18:59:58,0,1,@ClVILWHORE,,,-0.8126,0.363,0.0,0.637,Neg,62
deadpool well done,2016-02-20 16:18:39,22351,52525,@VancityReynolds,#killedit #maximumeffort,,0.2732,0.0,0.512,0.488,PP,62
glad ryan reynolds stole fuckin deadpool costume really blame,2016-02-20 18:59:57,0,1,,,,0.079,0.212,0.236,0.551,PP,62
watched deadpool,2016-02-20 10:17:54,955,425,@nicoletteannmc,#VoteMaineFPP #KCA,,0.0,0.0,0.0,1.0,NN,62
un video de de list boss low budget deadpool random moments,2016-02-20 18:59:55,0,0,@YouTube @uberhaxornova,#2,,-0.2732,0.174,0.0,0.826,Neg,62
deadpool que,2016-02-20 18:59:55,0,0,,,,0.0,0.0,0.0,1.0,NN,62
deadpool,2016-02-20 18:59:55,0,0,,,,0.0,0.0,0.0,1.0,NN,62
image ew,2015-07-09 17:54:10,1927,3098,@VancityReynolds @robertliefeld,#Deadpool,,0.0,0.0,0.0,1.0,NN,62
nah serious note need go see deadpool,2016-02-20 18:59:55,2,1,,,,-0.1779,0.351,0.0,0.649,Neg,62
thought ronthils icon deadpool okay,2016-02-20 18:59:54,0,2,,,,0.2263,0.0,0.322,0.678,PP,62
deadpool,2016-02-20 18:59:54,0,1,,,,0.0,0.0,0.0,1.0,NN,62
deadpool well done,2016-02-20 16:18:39,22351,52525,@VancityReynolds,#killedit #maximumeffort,,0.2732,0.0,0.512,0.488,PP,62
saw deadpool super funny,2016-02-20 18:58:22,393,2743,,,,0.7783,0.0,0.773,0.227,PP,62
deadpool well done,2016-02-20 16:18:39,22351,52525,@VancityReynolds,#killedit #maximumeffort,,0.2732,0.0,0.512,0.488,PP,62
