body,date,retweets,favorites,mentions,hashtags,geo,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,Indicator,GT
deadpool loves good superhero,2016-02-19 18:59:59,0,0,,#deadpool #deadpoolmovie #marvel #ironman #spiderman,,0.765,0.0,0.767,0.233,PP,47
finally watched deadpool absolutely amazing played burger king afterwards end day better,2016-02-19 18:46:22,3,9,,,,0.8648,0.0,0.518,0.482,PP,47
something touch,2016-01-28 12:00:47,8461,13511,,#deadpool,,0.0,0.0,0.0,1.0,NN,47
son los cines los que eligen deadpool es deadpool el que quiere que sean los cines deadpool en,2016-02-19 03:19:45,406,283,,,,0.0,0.0,0.0,1.0,NN,47
would make sweet sex deadpool,2016-02-19 15:23:33,328,1878,,,,0.4588,0.0,0.429,0.571,PP,47
deadpool bestial deslenguada,2016-02-19 18:59:55,0,0,,,,0.0,0.0,0.0,1.0,NN,47
deadpool bestial deslenguada,2016-02-19 18:59:55,0,0,,,,0.0,0.0,0.0,1.0,NN,47
deadpool bestial deslenguada,2016-02-19 18:59:54,0,0,,,,0.0,0.0,0.0,1.0,NN,47
deadpool sequel say,2016-02-19 18:09:39,97,207,,,,0.0,0.0,0.0,1.0,NN,47
espero que amanha eu va ver deadpool,2016-02-19 18:59:54,0,2,,,,0.0,0.0,0.0,1.0,NN,47
imax deadpool star,2016-02-19 18:59:53,0,0,,,,0.0,0.0,0.0,1.0,NN,47
fui ver deadpool hj,2016-02-19 18:59:52,1,0,,#YoutubersAwardsCocielo,,0.0,0.0,0.0,1.0,NN,47
deadpool filme aconteceu por causa de ryan reynolds e quem ta pagando pau pra fox ou se fingi de cego ou demente pr fazer isso,2016-02-18 19:55:57,17,10,,,,0.0,0.0,0.0,1.0,NN,47
deadpool nice,2016-02-19 18:59:47,0,0,,,,0.4215,0.0,0.737,0.263,PP,47
imperial shopping deadpool,2016-02-19 18:59:45,0,0,@imperial_shopp @lima_martha,,,0.0,0.0,0.0,1.0,NN,47
os cara tem audacia de duvida de deadpool esse filme nasceu com muita luta e vai rende pra caraio ainda,2016-02-19 18:59:45,0,0,@EduKBrown,,,0.0,0.0,0.0,1.0,NN,47
chris tucker que deveria ser deadpool,2016-02-19 18:59:44,0,0,,,,0.0,0.0,0.0,1.0,NN,47
aaah neeem acho q eu ainda n vi deadpool,2016-02-19 18:59:44,0,0,,,,0.0,0.0,0.0,1.0,NN,47
que risas con,2016-02-19 18:59:42,0,0,,#Deadpool,,0.0,0.0,0.0,1.0,NN,47
deadpool,2016-02-19 18:59:41,0,0,@xKoah,,,0.0,0.0,0.0,1.0,NN,47
gostei de um de eu sou deadpool uma madrugada,2016-02-19 18:59:41,0,0,@YouTube @miticojovem,,,0.0,0.0,0.0,1.0,NN,47
la mejor peli la currada del la excelencia en los,2016-02-19 18:59:40,1,1,@eugenioestrada,#Deadpool,,0.0,0.0,0.0,1.0,NN,47
este el comentario que va hacer iris al acho deadpool ole ya nada de osk,2016-02-19 18:59:39,0,2,,,,0.0,0.0,0.0,1.0,NN,47
alguns prioridade ver deadpool,2016-02-19 18:59:39,0,0,,,,0.0,0.0,0.0,1.0,NN,47
deadpool tnight,2016-02-19 18:59:37,0,1,,,,0.0,0.0,0.0,1.0,NN,47
adicionei um uma playlist sala de deadpool homem aranha e,2016-02-19 18:59:35,0,0,@YouTube,,,0.0,0.0,0.0,1.0,NN,47
liked video deadpool shots tipsy bartender,2016-02-19 18:59:34,0,0,@YouTube @tipsybartender,,,0.4215,0.0,0.359,0.641,PP,47
deadpool sensacional,2016-02-19 18:59:32,0,1,,,,0.0,0.0,0.0,1.0,NN,47
