Unnamed: 0,username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,Indicator
0,slimesidro,10/15/2017 19:59,1,0,happy death day definition,,,9.19714e+17,-0.0516,0.406,0.385,0.208,NN
1,jarcos_,10/15/2017 19:59,0,0,el film de horror happy death day domina la taquilla norteamericana,@revistavistazo,,9.19714e+17,-0.5994,0.394,0.192,0.415,Neg
2,atribecalledjmc,10/15/2017 19:59,1,8,happy death day definitely top worst movie even watch,,,9.19714e+17,-0.2023,0.396,0.406,0.198,Neg
3,bjspearstan,10/15/2017 19:59,0,4,happy death day good movie,,,9.19714e+17,0.4019,0.312,0.528,0.16,PP
4,Shermanther,10/15/2017 19:59,0,1,see happy death day,,,9.19714e+17,-0.0516,0.406,0.385,0.208,NN
5,TonyParkerArt,10/15/2017 19:58,0,0,congratulations scott lobdell writing number one movie go watch happy death day,,,9.19714e+17,0.6124,0.188,0.428,0.385,PP
6,Qbreelilly,10/15/2017 19:58,2,4,recommend happy death day,,,9.19714e+17,0.3182,0.351,0.559,0.09,PP
7,tinyninja7131,10/15/2017 19:58,0,2,gonna see happy death day really like concept movie hopefully good,,,9.19714e+17,0.8016,0.177,0.55,0.273,PP
8,gothsithlord,10/15/2017 19:58,0,0,saying good things happy death day alright goes munty,,,9.19714e+17,0.5719,0.223,0.491,0.286,PP
9,DreaaBabyyyyy,10/15/2017 19:57,0,0,bouta finally see happy death day,,,9.19714e+17,-0.0516,0.336,0.319,0.345,NN
10,kiiiaaahhh,10/15/2017 19:57,1,2,highly recommend seeing happy death day,,,9.19714e+17,0.4323,0.286,0.495,0.22,PP
11,AlaiaMion,10/15/2017 19:57,1,0,happy death day movie looks stupid,,,9.19714e+17,-0.5574,0.521,0.264,0.214,Neg
12,MynahRae1,10/15/2017 19:57,0,2,watching happy death day currently damn nerves shot,,,9.19714e+17,-0.5106,0.51,0.236,0.255,Neg
13,FatherTone,10/15/2017 19:56,0,0,sike nah havent seen happy death day lmao,,,9.19714e+17,0.5644,0.285,0.456,0.259,PP
14,OhlalaJustine,10/15/2017 19:56,0,2,actually like happy death day thought would,,,9.19714e+17,0.3182,0.277,0.44,0.284,PP
15,nemismyworld,10/15/2017 19:55,0,0,cinema watching happy death day screamed confident started playing lol,@ddlovato,,9.19713e+17,0.6486,0.286,0.53,0.184,PP
16,gamingtheostics,10/15/2017 19:55,0,0,happy death day wins weekend boffo plus debut people say best movie realeast date,,,9.19713e+17,0.8271,0.153,0.455,0.392,PP
17,tomsmarvel,10/15/2017 19:55,0,5,cinema watch happy death day,,,9.19713e+17,-0.0516,0.368,0.349,0.283,NN
18,mtp1086,10/15/2017 19:55,0,1,happy death day defeats blade runner box office noose,,,9.19713e+17,-0.3612,0.39,0.233,0.377,Neg
19,elise_alexia,10/15/2017 19:55,1,3,happy death day soooooo good,,,9.19713e+17,0.4019,0.312,0.528,0.16,PP
20,KarlosAires,10/15/2017 19:55,0,0,cinemas arcoplex aldeota happy death day ce,@arcoiriscinema,,9.19713e+17,-0.0516,0.31,0.294,0.397,NN
21,kgbt,10/15/2017 19:55,0,2,horror reigns happy death day tops domestic box office,,,9.19713e+17,-0.1531,0.388,0.357,0.255,Neg
22,lesliesal_,10/15/2017 19:55,0,2,happy death day actually good lol,,,9.19713e+17,0.6705,0.255,0.614,0.131,PP
23,EjLeeson,10/15/2017 19:54,0,1,happy death day pretty,,#HappyDeathDay,9.19713e+17,0.4588,0.331,0.585,0.085,PP
24,madfemme,10/15/2017 19:54,0,0,really enjoyed happy death day,,,9.19713e+17,0.528,0.303,0.551,0.146,PP
25,FatherTone,10/15/2017 19:53,16,21,killer happy death day save,,,9.19713e+17,-0.3182,0.509,0.429,0.062,Neg
26,ZProductionz,10/15/2017 19:53,0,1,seated,@creetureshow,#HappyDeathDay,9.19713e+17,0.0,0.0,0.0,1.0,NN
27,DouceyD,10/15/2017 19:53,0,0,happy death day get chance see friday even though tickets,,,9.19713e+17,0.2023,0.235,0.343,0.422,PP
28,salittig,10/15/2017 19:53,0,0,gostei de um morte te happy death day,@YouTube,,9.19713e+17,-0.0516,0.287,0.272,0.441,NN
29,Fangurll19,10/15/2017 19:53,0,0,saw happy death day really good,,,9.19713e+17,0.4576,0.283,0.5,0.218,PP
30,Manticore471,10/15/2017 19:53,0,0,u amazing happy death day u showed many emotions one film pulled bravo u,@jessica_rothe,,9.19713e+17,0.5574,0.201,0.387,0.412,PP
31,hemmomendesx,10/15/2017 19:52,0,1,happy death day freaking whole acting really movie,,,9.19713e+17,-0.4588,0.435,0.24,0.325,Neg
32,cia0bellaxo,10/15/2017 19:52,0,0,happy death day one movies expect wack turns,,,9.19713e+17,-0.0516,0.287,0.272,0.441,NN
33,xxTheNidsterxx,10/15/2017 19:52,0,0,happy death day great definitely better,,,9.19713e+17,0.8591,0.213,0.732,0.055,PP
34,Moviesworldshow,10/15/2017 19:52,0,0,happy death day stands among weak lineup wide releases los angeles times,,,9.19713e+17,-0.4767,0.349,0.19,0.462,Neg
35,livefromthe719,10/15/2017 19:52,0,0,watching happy death day,,#trakt,9.19713e+17,-0.0516,0.406,0.385,0.208,NN
