Unnamed: 0,username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,Indicator
0,NinjaTheory22,10/14/2017 19:59,0,0,whole reliving day gimmick interesting well happy death day checks box,,,9.19352e+17,0.5574,0.201,0.438,0.361,PP
1,funnnsizedd,10/14/2017 19:59,0,0,trying go see happy death day tonight,,,9.19352e+17,-0.0516,0.31,0.294,0.397,NN
2,aIisemiIy,10/14/2017 19:59,0,38,happy death day good movie wait waste money,,,9.19352e+17,-0.0258,0.387,0.382,0.231,NN
3,_mamasxx_,10/14/2017 19:59,0,0,need buddy go see happy death day,,,9.19352e+17,-0.0516,0.31,0.294,0.397,NN
4,JenniferPhung,10/14/2017 19:59,0,1,saw happy death day last night,,,9.19352e+17,-0.0516,0.336,0.319,0.345,NN
5,_B_S_W_,10/14/2017 19:59,0,0,wanna go see happy death day,,,9.19352e+17,-0.0516,0.336,0.319,0.345,NN
6,iGuru_YT,10/14/2017 19:59,0,1,currently watching spoilers watching plz,,#HappyDeathDay,9.19352e+17,0.0772,0.0,0.245,0.755,PP
7,Rivo_FPS,10/14/2017 19:59,0,0,happy death day,,,9.19352e+17,-0.0516,0.453,0.43,0.116,NN
8,kaelaeddie,10/14/2017 19:59,0,3,watched actually really good,@KelsiChoquette @PonoVarron @_kaylablood_,#HappyDeathDay,9.19352e+17,0.4927,0.0,0.516,0.484,PP
9,ireyes16,10/14/2017 19:59,0,1,believe see,,#HappyDeathDay,9.19352e+17,0.0,0.0,0.0,1.0,NN
10,NanaOG1,10/14/2017 19:59,0,0,happy death day sister,,,9.19352e+17,-0.0516,0.406,0.385,0.208,NN
11,ryanoliveira101,10/14/2017 19:58,0,0,happy death day,,,9.19352e+17,-0.0516,0.453,0.43,0.116,NN
12,JdM24_7,10/14/2017 19:58,0,0,called happy death day flat,,,9.19352e+17,-0.0516,0.368,0.349,0.283,NN
13,Cvrlton__,10/14/2017 19:58,1,0,trynna go see happy death day,,,9.19352e+17,-0.0516,0.336,0.319,0.345,NN
