Unnamed: 0,username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,Indicator
0,KatherineW1971,10/13/2017 19:59,0,1,currently,,,9.19e+17,0.0,0.0,0.0,1.0,NN
1,sebsbeanie,10/13/2017 19:59,0,1,one seen happy death day,,,9.19e+17,-0.0516,0.368,0.349,0.283,NN
2,marcosmejia_o4,10/13/2017 19:59,0,0,wants go see,,,9.19e+17,0.0,0.0,0.0,1.0,NN
3,mikellechloe_,10/13/2017 19:59,0,0,talk creepy people walking happy death day,,,9.19e+17,-0.0516,0.31,0.294,0.397,NN
4,HaydenPinafore,10/13/2017 19:59,1,8,happy death day good,,#HappyDeathDay,9.19e+17,0.4019,0.339,0.574,0.087,PP
5,j0shefina,10/13/2017 19:59,0,2,guess seeing happy death day alone today ticket gone waste,,,9.19e+17,-0.6124,0.473,0.201,0.326,Neg
6,Adjohnson_,10/13/2017 19:59,0,9,happy death day done honor horror genre month,,,9.19e+17,-0.1779,0.411,0.373,0.216,Neg
7,TinaPandaz,10/13/2017 19:58,0,0,watching happy death day friday,,,9.19e+17,-0.0516,0.368,0.349,0.283,NN
8,scottkelly1974,10/13/2017 19:58,0,0,happy death day movieguide movie reviews christians,,#,9.19e+17,-0.0516,0.31,0.294,0.397,NN
9,Purpin_Mama,10/13/2017 19:58,0,0,wait see happy death day,,,9.19e+17,-0.0516,0.368,0.349,0.283,NN
10,zoexswift,10/13/2017 19:58,0,0,whose killer happy death day love spoilers need know asap,,,9.19e+17,-0.0772,0.371,0.357,0.271,Neg
11,trent_croci,10/13/2017 19:58,1,3,yooooo happy death day must see funny good time,,,9.19e+17,0.6808,0.212,0.516,0.272,PP
12,ShutUpBitchh_,10/13/2017 19:58,0,0,happy death day pissed,,,9.19e+17,-0.6597,0.633,0.289,0.078,Neg
13,haileymichellee,10/13/2017 19:58,0,1,want see happy death day,,,9.19e+17,0.0258,0.358,0.459,0.183,NN
14,0ddoneout,10/13/2017 19:58,0,0,anybody go see happy death day,,,9.19e+17,-0.0516,0.336,0.319,0.345,NN
15,sameoldbrandon,10/13/2017 19:57,1,1,want see happy death day,,,9.19e+17,0.0258,0.358,0.459,0.183,NN
16,ZoeyAdair,10/13/2017 19:57,0,0,girl bae,@jessica_rothe,#HappyDeathDay,9.19e+17,0.0,0.0,0.0,1.0,NN
17,hunnybunnyyy,10/13/2017 19:57,0,0,bought ticket tonight see thinking,@UniversalHorror,#HappyDeathDay,9.19e+17,0.0,0.0,0.0,1.0,NN
18,troiansbeIIsrio,10/13/2017 19:57,0,5,saw happy death day w friends good,,,9.19e+17,0.7003,0.25,0.622,0.128,PP
19,mattwwe9,10/13/2017 19:57,0,0,liked video happy death day parody movie review,@YouTube,,9.19e+17,0.3818,0.253,0.422,0.325,PP
20,Ashley_Alldahyi,10/13/2017 19:57,0,0,since back home might go see happy death day,,,9.19e+17,-0.0516,0.267,0.253,0.479,NN
21,__selahrose,10/13/2017 19:56,0,0,happy death day,,,9.19e+17,-0.0516,0.453,0.43,0.116,NN
22,Steinmisr,10/13/2017 19:56,0,2,happy death day looks like kind horror movie actually want watch tbh,,,9.19e+17,0.3182,0.31,0.445,0.245,PP
23,heslovxto,10/13/2017 19:56,0,0,seeing happy death day tonight excited,,,9.19e+17,0.296,0.3,0.469,0.231,PP
24,theklashae,10/13/2017 19:56,0,0,happy death day reallyyyyyyyyyy good movie forreal,,,9.19e+17,0.4019,0.269,0.455,0.276,PP
25,kierstingale,10/13/2017 19:56,0,8,saw happy death day go,,,9.19e+17,-0.0516,0.368,0.349,0.283,NN
26,DoomDesire89,10/13/2017 19:56,0,0,spoiler,,#swerve,9.19e+17,0.0,0.0,0.0,1.0,NN
27,nothingbutabz,10/13/2017 19:56,0,1,apparently including saying happy death day,,,9.19e+17,-0.0516,0.336,0.319,0.345,NN
28,Franciscano_H,10/13/2017 19:56,0,0,caraca quem vai preferir esse happy death day tem tudo pra dar errado pra mim,,,9.19e+17,-0.0516,0.189,0.18,0.631,NN
29,shaqnosis1,10/13/2017 19:56,0,0,happy death day getting really good,,,9.19e+17,0.4576,0.283,0.5,0.218,PP
30,screentimex,10/13/2017 19:56,0,0,one better time loopers,,#HappyDeathDay #Review,9.19e+17,0.4404,0.0,0.492,0.508,PP
31,deelgee1210,10/13/2017 19:56,0,0,excited see happy death day,,,9.19e+17,0.296,0.325,0.508,0.167,PP
32,brookdanielle19,10/13/2017 19:56,0,1,come watch happy death day,,,9.19e+17,-0.0516,0.368,0.349,0.283,NN
33,kjmr09,10/13/2017 19:55,0,0,comes today instead decide stay chill watch,@astros,#HappyDeathDay #EarnHistory,9.19e+17,0.0,0.0,0.0,1.0,NN
34,DallariousAF,10/13/2017 19:55,0,1,happy death day good oh god,,,9.19e+17,0.5859,0.267,0.596,0.137,PP
35,cuquiface,10/13/2017 19:55,0,0,named happy groundhog,,#HappyDeathDay,9.19e+17,0.5719,0.0,0.649,0.351,PP
36,Makboogie,10/13/2017 19:55,0,0,happy death day two movies see,,,9.19e+17,-0.0516,0.336,0.319,0.345,NN
37,Yingerfelton,10/13/2017 19:55,1,1,think happy death day scared nah scared,@discordapp,,9.19e+17,-0.7506,0.661,0.22,0.119,Neg
38,_missymaclin_,10/13/2017 19:54,0,0,seeing happy death day,,,9.19e+17,-0.0516,0.406,0.385,0.208,NN
39,Agent_OfThe_Bat,10/13/2017 19:54,0,1,hahaha watched totally called shit movie exactly thought going disappointed,,#HappyDeathDay,9.19e+17,-0.5233,0.397,0.205,0.398,Neg
40,bedtimebonzob,10/13/2017 19:54,0,0,neutral,@blankcheckpod,,9.19e+17,0.0,0.0,0.0,1.0,NN
41,JMShowproduc,10/13/2017 19:54,0,0,went see happy death day quite happy friday,,,9.19e+17,0.5423,0.239,0.454,0.307,PP
42,OX_Bigly,10/13/2017 19:54,0,0,happy death day via,@YouTube,,9.19e+17,-0.0516,0.406,0.385,0.208,NN
43,_Ciimone,10/13/2017 19:54,0,0,happy death day better good,,,9.19e+17,0.6808,0.271,0.66,0.069,PP
44,renansarpe,10/13/2017 19:54,0,0,happy death day traduzido pra morta de nossa q parece de filme de,,,9.19e+17,-0.0516,0.222,0.21,0.568,NN
45,CheekyWankr,10/13/2017 19:54,0,0,run ads happy death day origins shadow mordor videos seems like definitely family friendly,,,9.19e+17,0.802,0.156,0.484,0.36,PP
46,Tsteve93,10/13/2017 19:54,0,0,see happy death day heard fingers,,,9.19e+17,-0.0516,0.336,0.319,0.345,NN
47,AloneIn_Vegas,10/13/2017 19:53,0,1,happy death day good go see,,,9.19e+17,0.4019,0.289,0.489,0.222,PP
48,mabybaby89,10/13/2017 19:53,0,0,watching happy death day theater,,,9.19e+17,-0.0516,0.368,0.349,0.283,NN
49,JaseBarrentine,10/13/2017 19:53,1,1,movie happy death day great,,,9.19e+17,0.5994,0.285,0.569,0.146,PP
50,crbynavery,10/13/2017 19:53,0,1,kar best dm finishes watching happy death day,,,9.19e+17,0.6124,0.232,0.47,0.298,PP
51,Jalen1k_,10/13/2017 19:52,0,0,want see happy death day,,,9.19e+17,0.0258,0.358,0.459,0.183,NN
52,SoftStudd,10/13/2017 19:52,0,1,saw happy death day lmao,,,9.19e+17,0.5719,0.289,0.563,0.148,PP
53,Jose_Munoz,10/13/2017 19:52,0,0,thinking almost got better score,@RottenTomatoes,#HappyDeathDay #BatmanvSuperman #SuicideSquad #TheSnowmanMovie,9.19e+17,0.3862,0.0,0.396,0.604,PP
54,LashaePorcha,10/13/2017 19:51,0,1,happy death day best lie,,,9.19e+17,0.6124,0.283,0.572,0.145,PP
55,moyyruiz10,10/13/2017 19:51,1,3,lol wanted see happy death day today guess,,,9.19e+17,0.3818,0.253,0.422,0.325,PP
56,jess__gotschall,10/13/2017 19:51,0,2,someone see happy death day,,,9.19e+17,-0.0516,0.368,0.349,0.283,NN
57,Vanessaaa_02,10/13/2017 19:51,1,2,wanna go see happy death day,,,9.19e+17,-0.0516,0.336,0.319,0.345,NN
58,Clovis_baloi,10/13/2017 19:51,0,1,liked video happy death day,@YouTube,,9.19e+17,0.3818,0.315,0.524,0.161,PP
59,fabiveraa,10/13/2017 19:51,7,1,wanna watch happy death day,,,9.19e+17,-0.0516,0.368,0.349,0.283,NN
60,Dark_Atmosphere,10/13/2017 19:50,1,0,generic studio equal easy see independent horror taking,,#HappyDeathDay,9.19e+17,-0.2023,0.294,0.23,0.476,Neg
61,Christensens35,10/13/2017 19:50,0,0,saw actually really course knew still good,,#HappyDeathDay,9.19e+17,0.4404,0.0,0.326,0.674,PP
62,Dark_Atmosphere,10/13/2017 19:50,0,3,generic studio equal easy see independent horror taking,,#HappyDeathDay #HappyDeathDayMovie #HorrorMovies,9.19e+17,-0.2023,0.294,0.23,0.476,Neg
63,krysaleah112,10/13/2017 19:50,0,1,homies seeing happy death day friday,,,9.19e+17,-0.0516,0.336,0.319,0.345,NN
64,njl247,10/13/2017 19:50,0,2,happy death day actually pretty good wow recommend,,,9.19e+17,0.9042,0.177,0.732,0.091,PP
65,kevingarcia1010,10/13/2017 19:50,0,0,kinda want watch happy death day,,,9.19e+17,-0.1171,0.344,0.392,0.264,Neg
66,DexholderRachel,10/13/2017 19:50,0,2,friday watching,,#HappyDeathDay,9.19e+17,0.0,0.0,0.0,1.0,NN
67,KouterCat,10/13/2017 19:49,0,0,watching happy death day millstone,,,9.19e+17,-0.0516,0.368,0.349,0.283,NN
68,groovysara,10/13/2017 19:49,0,6,watching happy death day,,,9.19e+17,-0.0516,0.406,0.385,0.208,NN
69,__miriaam__,10/13/2017 19:49,0,2,hope happy death day good movie,,,9.19e+17,0.6808,0.253,0.617,0.13,PP
70,jeromemuscarell,10/13/2017 19:49,2,1,happy death day actually decent kinda funny,,,9.19e+17,0.3415,0.275,0.444,0.282,PP
71,Morgann_Mariee_,10/13/2017 19:49,1,2,thanks scary movie buddy,@LiveLaughKear,#HappyDeathDay,9.19e+17,-0.0772,0.395,0.358,0.247,Neg
72,alliexxhemmings,10/13/2017 19:49,0,1,gonna go watch rn,,#HappyDeathDay,9.19e+17,0.0,0.0,0.0,1.0,NN
73,mixedchynaa,10/13/2017 19:49,0,0,want also go see happy death day,,,9.19e+17,0.0258,0.302,0.388,0.31,NN
74,nikilayne23,10/13/2017 19:49,0,0,watched happy death day already planning,,,9.19e+17,-0.0516,0.336,0.319,0.345,NN
75,That_Guy_Mill,10/13/2017 19:49,0,0,wanna see happy death day date cool got work morning,,,9.19e+17,0.2732,0.231,0.355,0.414,PP
76,NickPiazza_,10/13/2017 19:48,0,0,liked video happy death day live,@YouTube,,9.19e+17,0.3818,0.291,0.485,0.224,PP
77,xSam_DMx,10/13/2017 19:48,0,2,like gonna mad watch ads,,#YouTube #HappyDeathDay,9.19e+17,-0.1779,0.368,0.287,0.345,Neg
78,fakegriffey,10/13/2017 19:48,1,0,im trying see happy death day,,,9.19e+17,-0.0516,0.336,0.319,0.345,NN
79,ElliottCRealtor,10/13/2017 19:47,0,0,another hit miss review happy death day movie,,#moviefiles #HappyDeathDay #FridayThe13th,9.19e+17,-0.2023,0.387,0.261,0.352,Neg
80,commentng,10/13/2017 19:47,0,0,meninas assistam happy death day adorei humor filme foi bom,,,9.19e+17,0.2263,0.234,0.347,0.419,PP
81,missingwords,10/13/2017 19:47,19,89,lot heart horror movie seen recent surprisingly well,,#HappyDeathDay,9.19e+17,-0.1027,0.285,0.331,0.385,Neg
82,aguero_timothy,10/13/2017 19:47,1,8,happy death day good,,,9.19e+17,0.4019,0.339,0.574,0.087,PP
83,YuanChen,10/13/2017 19:47,0,0,liked video happy death day movie review,@YouTube,,9.19e+17,0.3818,0.271,0.451,0.278,PP
