Unnamed: 0,username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,Indicator
0,Legion_Palmtree,10/16/2017 19:59,0,0,mascot university happy death day,,,9.20077e+17,-0.0516,0.368,0.349,0.283,NN
1,kendall_lydick,10/16/2017 19:59,2,2,need see happy death day,,,9.20077e+17,-0.0516,0.368,0.349,0.283,NN
2,michaeljavierw,10/16/2017 19:58,0,0,happy death day es una basura,,,9.20077e+17,-0.0516,0.336,0.319,0.345,NN
3,jacksonpurba,10/16/2017 19:58,0,0,latest secercah,,#snl #happydeathday,9.20077e+17,0.0,0.0,0.0,1.0,NN
4,jeonsdimpIe,10/16/2017 19:58,0,25,happy death day slandering anything,,,9.20077e+17,-0.0516,0.368,0.349,0.283,NN
5,morgmorgan25,10/16/2017 19:57,0,3,watching happy death day babysitter say need stop writing horribly cliche bad,,,9.20076e+17,-0.8519,0.549,0.156,0.295,Neg
6,_bling13bling_,10/16/2017 19:57,0,0,want see happy death day first supposed see friday work go see,,,9.20076e+17,0.0258,0.218,0.279,0.503,NN
7,adultshard,10/16/2017 19:56,0,1,groundhog day started wakes everyday happy death day,,,9.20076e+17,-0.0516,0.287,0.272,0.441,NN
8,JasonNReneau,10/16/2017 19:55,0,0,saw happy death day felt like making greatest looks,,,9.20076e+17,0.7579,0.202,0.539,0.259,PP
9,claudineiferrei,10/16/2017 19:55,0,0,happy death day want go see movie,,,9.20076e+17,0.0258,0.302,0.388,0.31,NN
10,BobAKABuffy,10/16/2017 19:54,0,3,really loved,@israelbroussard @juliacunningham @EWlive,#Carter #HappyDeathDay,9.20075e+17,0.6361,0.0,0.807,0.193,PP
11,jfcharrys,10/16/2017 19:53,0,0,watched happy death day really liked,,,9.20075e+17,0.4391,0.285,0.496,0.219,PP
12,MuvaCaramel,10/16/2017 19:53,0,0,happy death day rolling ole girl said first kappas eat cupcakes like damn,,,9.20075e+17,-0.1027,0.303,0.284,0.413,Neg
13,BabyyJayy01,10/16/2017 19:53,4,5,actually want go see happy death day,,,9.20075e+17,0.0258,0.302,0.388,0.31,NN
14,Thirstykirstii,10/16/2017 19:53,2,4,trying see happy death day still,,,9.20075e+17,-0.0516,0.336,0.319,0.345,NN
15,kvnrvr_,10/16/2017 19:52,0,1,neutral,,#HappyDeathDay,9.20075e+17,0.0,0.0,0.0,1.0,NN
16,chiefkeath_,10/16/2017 19:52,0,0,wanna watch happy death day,,,9.20075e+17,-0.0516,0.368,0.349,0.283,NN
17,Mjustin88,10/16/2017 19:51,0,0,feast last night even used phone find killer happy death day movie lol,,,9.20075e+17,-0.4019,0.346,0.274,0.38,Neg
18,shanieshanshan,10/16/2017 19:51,0,3,someone watch happy death day wid tomorrow pls,,,9.20075e+17,0.0258,0.281,0.36,0.36,NN
19,mattlegarreta,10/16/2017 19:50,0,0,really bad even low left theater mostly confused,,#HappyDeathDay,9.20074e+17,-0.8155,0.628,0.0,0.372,Neg
20,mcxreedus,10/16/2017 19:50,0,0,omg see u happy death day think little lesbian beautiful love lol,@jessica_rothe,,9.20074e+17,0.8795,0.163,0.587,0.25,PP
21,popternative,10/16/2017 19:49,12,18,congrats cast crew box office,@raylynn93 @UniversalHorror,#1,9.20074e+17,0.5267,0.0,0.459,0.541,PP
22,nmiguelrn,10/16/2017 19:48,0,2,quando happy death day consegue ser mais assustador,,,9.20074e+17,-0.0516,0.287,0.272,0.441,NN
23,Jose_Caicedo,10/16/2017 19:48,0,0,el vi happy death day bueno esperaba,,,9.20074e+17,-0.0516,0.31,0.294,0.397,NN
24,_gisellebarajas,10/16/2017 19:48,10,4,really want go see happy death day,,,9.20074e+17,0.101,0.296,0.401,0.303,PP
25,mscrofanos,10/16/2017 19:47,0,0,happy death day filme mais divertido ano junto com,,,9.20074e+17,-0.0516,0.267,0.253,0.479,NN
26,ygymkm,10/16/2017 19:47,0,12,seconds happy death day alreadybgtg,,,9.20074e+17,-0.0516,0.368,0.349,0.283,NN
27,BizarroDoom,10/16/2017 19:47,0,0,difference day makes happy death day,,,9.20074e+17,-0.0516,0.336,0.319,0.345,NN
28,dgrone78,10/16/2017 19:46,0,0,power strikes checking,@hardwick @nerdist @blumhouse,#HappyDeathDay,9.20074e+17,-0.3612,0.556,0.0,0.444,Neg
29,Jasminaaang18,10/16/2017 19:46,0,1,october find die,,#HappyDeathDay,9.20073e+17,-0.5994,0.661,0.0,0.339,Neg
30,emily_gass,10/16/2017 19:46,0,9,wants go happy death day,,,9.20073e+17,-0.0516,0.368,0.349,0.283,NN
31,Montanaaa_,10/16/2017 19:45,0,1,mama finna take see happy death day,,,9.20073e+17,-0.0516,0.31,0.294,0.397,NN
32,dnceIines,10/16/2017 19:45,0,4,watching happy death day see,,,9.20073e+17,-0.0516,0.368,0.349,0.283,NN
33,Ghuyer,10/16/2017 19:44,0,0,rated happy death day learn add watchlist,,,9.20073e+17,-0.0516,0.31,0.294,0.397,NN
34,KENXJOSEPH,10/16/2017 19:44,0,0,boycott happy death day simply looks fucking trash,,,9.20073e+17,-0.3612,0.416,0.248,0.336,Neg
35,l0lalec,10/16/2017 19:44,0,0,happy death day go watch,,,9.20073e+17,-0.0516,0.368,0.349,0.283,NN
36,vivienkyline,10/16/2017 19:44,0,1,watched happy death day omg plot twist,,,9.20073e+17,-0.0516,0.31,0.294,0.397,NN
37,marcsimpson97,10/16/2017 19:44,0,3,happy death day looks magic hahaha,,,9.20073e+17,0.5267,0.275,0.514,0.211,PP
38,MichaelAMartin,10/16/2017 19:43,0,1,things subject order hang watching happy death day harkins,,,9.20073e+17,-0.0516,0.267,0.253,0.479,NN
39,KinanoNanina,10/16/2017 19:43,0,1,checkout latest news post happy death day scares box office,,,9.20073e+17,-0.3818,0.371,0.218,0.412,Neg
40,phantomthread,10/16/2017 19:43,0,4,lied gonna see happy death day tomorrow instead florida project cuz gonna save florida project lucy comes,,,9.20073e+17,0.1027,0.246,0.261,0.492,PP
41,JavierSpanic,10/16/2017 19:43,0,0,happy death day official trailer horror movie hd sigue creciendo en,@YouTube,#1,9.20073e+17,-0.5994,0.394,0.192,0.415,Neg
42,imanishackee,10/16/2017 19:42,0,0,happy death day,,,9.20073e+17,-0.0516,0.453,0.43,0.116,NN
43,Rude_AssTaj,10/16/2017 19:41,0,0,happy death day actually smooth movie,,,9.20072e+17,-0.0516,0.336,0.319,0.345,NN
44,Sean_W2,10/16/2017 19:41,0,0,far edge happy death day og groundhog,,,9.20072e+17,-0.0516,0.31,0.294,0.397,NN
45,itsjaymami,10/16/2017 19:41,0,4,good movie,,#HappyDeathDay,9.20072e+17,0.4404,0.0,0.744,0.256,PP
46,DCHamer44,10/16/2017 19:41,0,0,cinemas,@Regal,#happydeathday #regalcinemas #silverspring #maryland #dmv,9.20072e+17,0.0,0.0,0.0,1.0,NN
